source	type	score	phase	gene_id	gene_version	gene_name	gene_source	gene_biotype	location
ensembl_havana	gene	NA	NA	ENSG00000163389	12	POGLUT1	ensembl_havana	protein_coding	chr3:119468963-119494708:+
havana	gene	NA	NA	ENSG00000272662	1	AC073352.1	havana	lncRNA	chr3:119497678-119498181:-
ensembl_havana	gene	NA	NA	ENSG00000113845	10	TIMMDC1	ensembl_havana	protein_coding	chr3:119498547-119525090:+
ensembl_havana	gene	NA	NA	ENSG00000121594	12	CD80	ensembl_havana	protein_coding	chr3:119524293-119559614:-
havana	gene	NA	NA	ENSG00000272967	1	AC073352.2	havana	lncRNA	chr3:119579212-119579650:-
ensembl_havana	gene	NA	NA	ENSG00000144843	11	ADPRH	ensembl_havana	protein_coding	chr3:119579268-119589945:+
ensembl_havana	gene	NA	NA	ENSG00000144837	9	PLA1A	ensembl_havana	protein_coding	chr3:119597875-119629811:+
havana	gene	NA	NA	ENSG00000242052	1	RPL10P7	havana	processed_pseudogene	chr3:119635526-119636150:-
ensembl_havana	gene	NA	NA	ENSG00000121577	13	POPDC2	ensembl_havana	protein_coding	chr3:119636457-119665324:-
ensembl_havana	gene	NA	NA	ENSG00000138495	6	COX17	ensembl_havana	protein_coding	chr3:119654513-119677454:-
havana	gene	NA	NA	ENSG00000286584	2	AC023494.1	havana	lncRNA	chr3:119666236-119670688:+
ensembl_havana	gene	NA	NA	ENSG00000183833	16	MAATS1	ensembl_havana	protein_coding	chr3:119703022-119767102:+
havana	gene	NA	NA	ENSG00000285585	1	AC069444.2	havana	protein_coding	chr3:119703076-119807570:+
havana	gene	NA	NA	ENSG00000239994	2	AC069444.1	havana	lncRNA	chr3:119744139-119750350:-
ensembl_havana	gene	NA	NA	ENSG00000144852	18	NR1I2	ensembl_havana	protein_coding	chr3:119780484-119818485:+
havana	gene	NA	NA	ENSG00000240471	1	PHBP8	havana	processed_pseudogene	chr3:119791829-119792553:+
ensembl_havana	gene	NA	NA	ENSG00000082701	16	GSK3B	ensembl_havana	protein_coding	chr3:119821321-120094447:-
havana	gene	NA	NA	ENSG00000239835	1	AC092910.1	havana	processed_pseudogene	chr3:120028740-120029868:+
havana	gene	NA	NA	ENSG00000241546	1	AC092910.2	havana	processed_pseudogene	chr3:120041190-120041537:+
havana	gene	NA	NA	ENSG00000242622	2	AC092910.3	havana	lncRNA	chr3:120094895-120136783:+
ensembl	gene	NA	NA	ENSG00000244308	2	RN7SL762P	ensembl	misc_RNA	chr3:120110498-120110786:-
ensembl	gene	NA	NA	ENSG00000244139	3	RN7SL397P	ensembl	misc_RNA	chr3:120121909-120122206:+
ensembl_havana	gene	NA	NA	ENSG00000175697	10	GPR156	ensembl_havana	protein_coding	chr3:120164645-120285094:-
ensembl	gene	NA	NA	ENSG00000206721	1	AC092897.1	ensembl	misc_RNA	chr3:120210320-120210421:+
havana	gene	NA	NA	ENSG00000240882	1	AC063952.2	havana	processed_pseudogene	chr3:120306726-120307952:+
ensembl_havana	gene	NA	NA	ENSG00000163428	4	LRRC58	ensembl_havana	protein_coding	chr3:120324509-120349354:-
havana	gene	NA	NA	ENSG00000240661	3	AC063952.1	havana	transcribed_unitary_pseudogene	chr3:120349449-120423826:+
havana	gene	NA	NA	ENSG00000282950	1	AC063952.4	havana	lncRNA	chr3:120365993-120368326:-
havana	gene	NA	NA	ENSG00000242613	1	AC063952.3	havana	processed_pseudogene	chr3:120388029-120389315:+
ensembl_havana	gene	NA	NA	ENSG00000163430	12	FSTL1	ensembl_havana	protein_coding	chr3:120392293-120450993:-
mirbase	gene	NA	NA	ENSG00000284121	1	MIR198	mirbase	miRNA	chr3:120395668-120395729:-
havana_tagene	gene	NA	NA	ENSG00000286735	1	AC126182.3	havana_tagene	lncRNA	chr3:120448974-120509675:+
havana	gene	NA	NA	ENSG00000240774	1	AC126182.1	havana	processed_pseudogene	chr3:120484171-120484527:-
havana	gene	NA	NA	ENSG00000244441	1	AC126182.2	havana	processed_pseudogene	chr3:120512850-120513188:+
ensembl_havana	gene	NA	NA	ENSG00000065518	8	NDUFB4	ensembl_havana	protein_coding	chr3:120596328-120602507:+
ensembl_havana	gene	NA	NA	ENSG00000113924	12	HGD	ensembl_havana	protein_coding	chr3:120628172-120682269:-
ensembl_havana	gene	NA	NA	ENSG00000144840	10	RABL3	ensembl_havana	protein_coding	chr3:120684938-120742993:-
havana	gene	NA	NA	ENSG00000240452	1	MTCO1P29	havana	unprocessed_pseudogene	chr3:120722024-120722311:+
havana	gene	NA	NA	ENSG00000243257	1	MTCO2P29	havana	unprocessed_pseudogene	chr3:120722458-120722646:+
ensembl_havana	gene	NA	NA	ENSG00000153767	10	GTF2E1	ensembl_havana	protein_coding	chr3:120742637-120783069:+
havana	gene	NA	NA	ENSG00000213371	4	NAP1L1P3	havana	processed_pseudogene	chr3:120805866-120806745:+
havana_tagene	gene	NA	NA	ENSG00000286827	1	AC072026.2	havana_tagene	lncRNA	chr3:120811530-120908093:-
havana	gene	NA	NA	ENSG00000243593	1	LINC02049	havana	lncRNA	chr3:120833440-120836360:-
havana_tagene	gene	NA	NA	ENSG00000287366	1	AC072026.3	havana_tagene	lncRNA	chr3:120833936-120871794:+
ensembl_havana	gene	NA	NA	ENSG00000145087	12	STXBP5L	ensembl_havana	protein_coding	chr3:120908072-121424761:+
havana	gene	NA	NA	ENSG00000270782	1	AC072026.1	havana	processed_pseudogene	chr3:120924612-120925158:-
mirbase	gene	NA	NA	ENSG00000264477	1	MIR5682	mirbase	miRNA	chr3:121049640-121049715:+
havana	gene	NA	NA	ENSG00000243813	1	AC078857.1	havana	processed_pseudogene	chr3:121099108-121099774:+
havana	gene	NA	NA	ENSG00000242103	1	AC079841.1	havana	processed_pseudogene	chr3:121356991-121357940:+
havana_tagene	gene	NA	NA	ENSG00000287022	1	AC079841.2	havana_tagene	lncRNA	chr3:121394772-121431198:-
ensembl_havana	gene	NA	NA	ENSG00000051341	14	POLQ	ensembl_havana	protein_coding	chr3:121431427-121546641:-
havana	gene	NA	NA	ENSG00000242445	1	RPL7AP11	havana	processed_pseudogene	chr3:121494110-121494908:+
ensembl_havana	gene	NA	NA	ENSG00000186103	5	ARGFX	ensembl_havana	protein_coding	chr3:121567949-121590622:+
ensembl_havana	gene	NA	NA	ENSG00000163833	8	FBXO40	ensembl_havana	protein_coding	chr3:121593379-121630295:+
ensembl_havana	gene	NA	NA	ENSG00000180353	11	HCLS1	ensembl_havana	protein_coding	chr3:121631399-121660927:-
ensembl	gene	NA	NA	ENSG00000243544	3	RN7SL172P	ensembl	misc_RNA	chr3:121653994-121654296:-
ensembl	gene	NA	NA	ENSG00000222057	1	RNU4-62P	ensembl	snRNA	chr3:121655475-121655604:-
ensembl_havana	gene	NA	NA	ENSG00000173230	15	GOLGB1	ensembl_havana	protein_coding	chr3:121663199-121749767:-
ensembl_havana	gene	NA	NA	ENSG00000173226	17	IQCB1	ensembl_havana	protein_coding	chr3:121769761-121835079:-
ensembl_havana	gene	NA	NA	ENSG00000145088	9	EAF2	ensembl_havana	protein_coding	chr3:121835183-121886526:+
ensembl_havana	gene	NA	NA	ENSG00000163406	11	SLC15A2	ensembl_havana	protein_coding	chr3:121894401-121944188:+
ensembl_havana	gene	NA	NA	ENSG00000145103	15	ILDR1	ensembl_havana	protein_coding	chr3:121987323-122022247:-
ensembl	gene	NA	NA	ENSG00000202388	1	AC080098.1	ensembl	misc_RNA	chr3:122025195-122025304:-
ensembl_havana	gene	NA	NA	ENSG00000114013	16	CD86	ensembl_havana	protein_coding	chr3:122055362-122121139:+
havana	gene	NA	NA	ENSG00000287977	1	AC068630.1	havana	processed_pseudogene	chr3:122172405-122174099:-
ensembl_havana	gene	NA	NA	ENSG00000036828	17	CASR	ensembl_havana	protein_coding	chr3:122183668-122291629:+
havana	gene	NA	NA	ENSG00000240236	1	HNRNPA1P23	havana	processed_pseudogene	chr3:122317609-122318741:+
ensembl_havana	gene	NA	NA	ENSG00000121552	4	CSTA	ensembl_havana	protein_coding	chr3:122325248-122341969:+
ensembl_havana	gene	NA	NA	ENSG00000160124	9	CCDC58	ensembl_havana	protein_coding	chr3:122359591-122383231:-
ensembl_havana	gene	NA	NA	ENSG00000114023	15	FAM162A	ensembl_havana	protein_coding	chr3:122384176-122412334:+
ensembl_havana	gene	NA	NA	ENSG00000196981	4	WDR5B	ensembl_havana	protein_coding	chr3:122411846-122416062:-
havana	gene	NA	NA	ENSG00000272758	6	AC083798.2	havana	lncRNA	chr3:122416207-122443180:+
havana	gene	NA	NA	ENSG00000242531	1	AC083798.1	havana	unprocessed_pseudogene	chr3:122416882-122417012:-
ensembl_havana	gene	NA	NA	ENSG00000114030	13	KPNA1	ensembl_havana	protein_coding	chr3:122421902-122514945:-
havana	gene	NA	NA	ENSG00000275348	1	AC096861.1	havana	processed_pseudogene	chr3:122482990-122483229:+
havana_tagene	gene	NA	NA	ENSG00000287207	1	AC096861.2	havana_tagene	lncRNA	chr3:122515006-122518172:+
ensembl_havana	gene	NA	NA	ENSG00000138496	16	PARP9	ensembl_havana	protein_coding	chr3:122527924-122564577:-
ensembl_havana	gene	NA	NA	ENSG00000163840	10	DTX3L	ensembl_havana	protein_coding	chr3:122564338-122575203:+
ensembl_havana	gene	NA	NA	ENSG00000173200	13	PARP15	ensembl_havana	protein_coding	chr3:122577628-122639047:+
havana	gene	NA	NA	ENSG00000243918	1	EIF4BP8	havana	processed_pseudogene	chr3:122660613-122662438:+
ensembl_havana	gene	NA	NA	ENSG00000173193	15	PARP14	ensembl_havana	protein_coding	chr3:122680839-122730840:+
ensembl_havana	gene	NA	NA	ENSG00000169087	11	HSPBAP1	ensembl_havana	protein_coding	chr3:122739999-122793831:-
ensembl_havana	gene	NA	NA	ENSG00000138463	9	SLC49A4	ensembl_havana	protein_coding	chr3:122795069-122881139:+
havana	gene	NA	NA	ENSG00000273033	2	LINC02035	havana	lncRNA	chr3:122886941-122892416:+
ensembl_havana	gene	NA	NA	ENSG00000082684	16	SEMA5B	ensembl_havana	protein_coding	chr3:122909082-123028605:-
ensembl_havana	gene	NA	NA	ENSG00000065485	20	PDIA5	ensembl_havana	protein_coding	chr3:123067025-123225227:+
mirbase	gene	NA	NA	ENSG00000284421	1	MIR7110	mirbase	miRNA	chr3:123161794-123161879:+
ensembl_havana	gene	NA	NA	ENSG00000121542	12	SEC22A	ensembl_havana	protein_coding	chr3:123201927-123274136:+
havana	gene	NA	NA	ENSG00000273454	1	AC112503.2	havana	lncRNA	chr3:123277353-123277904:+
ensembl_havana	gene	NA	NA	ENSG00000173175	14	ADCY5	ensembl_havana	protein_coding	chr3:123282296-123449758:-
havana	gene	NA	NA	ENSG00000272678	1	AC112503.1	havana	lncRNA	chr3:123283593-123283983:+
ensembl_havana	gene	NA	NA	ENSG00000206527	10	HACD2	ensembl_havana	protein_coding	chr3:123490820-123585053:-
havana	gene	NA	NA	ENSG00000239523	6	MYLK-AS1	havana	lncRNA	chr3:123585300-123644568:+
ensembl_havana	gene	NA	NA	ENSG00000065534	18	MYLK	ensembl_havana	protein_coding	chr3:123610049-123884331:-
havana	gene	NA	NA	ENSG00000250174	5	MYLK-AS2	havana	lncRNA	chr3:123689644-123692407:+
havana	gene	NA	NA	ENSG00000273123	1	AC020634.2	havana	lncRNA	chr3:123715851-123716399:+
ensembl	gene	NA	NA	ENSG00000207002	1	AC020634.1	ensembl	snoRNA	chr3:123814077-123814207:+
ensembl_havana	gene	NA	NA	ENSG00000175455	15	CCDC14	ensembl_havana	protein_coding	chr3:123897305-123961408:-
ensembl_havana	gene	NA	NA	ENSG00000065371	17	ROPN1	ensembl_havana	protein_coding	chr3:123968521-123992178:-
ensembl_havana	gene	NA	NA	ENSG00000160145	15	KALRN	ensembl_havana	protein_coding	chr3:124080023-124726325:+
mirbase	gene	NA	NA	ENSG00000266383	1	MIR5002	mirbase	miRNA	chr3:124132929-124133025:+
havana	gene	NA	NA	ENSG00000240622	1	RPL7P15	havana	processed_pseudogene	chr3:124151960-124153063:-
mirbase	gene	NA	NA	ENSG00000276656	1	MIR6083	mirbase	miRNA	chr3:124374332-124374437:+
ensembl	gene	NA	NA	ENSG00000252751	1	RNU6-143P	ensembl	snRNA	chr3:124407691-124407783:+
havana	gene	NA	NA	ENSG00000260391	2	AC022336.2	havana	lncRNA	chr3:124723788-124726325:+
ensembl_havana	gene	NA	NA	ENSG00000114491	14	UMPS	ensembl_havana	protein_coding	chr3:124730433-124749273:+
mirbase	gene	NA	NA	ENSG00000265981	1	MIR544B	mirbase	miRNA	chr3:124732439-124732516:+
havana	gene	NA	NA	ENSG00000242199	1	AC022336.1	havana	processed_pseudogene	chr3:124733418-124733754:-
ensembl_havana	gene	NA	NA	ENSG00000082781	12	ITGB5	ensembl_havana	protein_coding	chr3:124761948-124901418:-
havana	gene	NA	NA	ENSG00000244286	1	ITGB5-AS1	havana	lncRNA	chr3:124781155-124787757:+
havana	gene	NA	NA	ENSG00000280042	1	AC022336.4	havana	TEC	chr3:124791119-124793104:-
ensembl	gene	NA	NA	ENSG00000276626	1	AC022336.3	ensembl	misc_RNA	chr3:124792319-124792562:-
havana	gene	NA	NA	ENSG00000243986	2	ENO1P3	havana	processed_pseudogene	chr3:124862094-124863317:-
ensembl_havana	gene	NA	NA	ENSG00000173702	7	MUC13	ensembl_havana	protein_coding	chr3:124905442-124953819:-
ensembl_havana	gene	NA	NA	ENSG00000173706	14	HEG1	ensembl_havana	protein_coding	chr3:124965710-125055997:-
ensembl	gene	NA	NA	ENSG00000252642	1	RNA5SP137	ensembl	rRNA_pseudogene	chr3:125058304-125058438:-
havana_tagene	gene	NA	NA	ENSG00000288022	1	AC117488.1	havana_tagene	lncRNA	chr3:125061448-125063710:+
ensembl_havana	gene	NA	NA	ENSG00000221955	10	SLC12A8	ensembl_havana	protein_coding	chr3:125082636-125212864:-
ensembl	gene	NA	NA	ENSG00000199327	1	RNU6-230P	ensembl	snRNA	chr3:125119097-125119200:-
mirbase	gene	NA	NA	ENSG00000264986	1	MIR5092	mirbase	miRNA	chr3:125151465-125151552:-
ensembl_havana	gene	NA	NA	ENSG00000163848	19	ZNF148	ensembl_havana	protein_coding	chr3:125225561-125375354:-
havana	gene	NA	NA	ENSG00000229048	5	DUTP1	havana	processed_pseudogene	chr3:125310881-125311350:+
havana	gene	NA	NA	ENSG00000243508	1	AC108688.1	havana	processed_pseudogene	chr3:125344085-125344797:-
ensembl	gene	NA	NA	ENSG00000252953	1	RNU6-232P	ensembl	snRNA	chr3:125388934-125388997:+
ensembl_havana	gene	NA	NA	ENSG00000114520	11	SNX4	ensembl_havana	protein_coding	chr3:125446650-125520202:-
ensembl	gene	NA	NA	ENSG00000201800	1	AC117487.1	ensembl	misc_RNA	chr3:125516979-125517086:+
ensembl	gene	NA	NA	ENSG00000252965	1	AC016959.1	ensembl	misc_RNA	chr3:125528244-125528349:-
ensembl_havana	gene	NA	NA	ENSG00000144909	8	OSBPL11	ensembl_havana	protein_coding	chr3:125528858-125595497:-
havana	gene	NA	NA	ENSG00000243072	1	AF186996.3	havana	processed_pseudogene	chr3:125679573-125679781:+
havana	gene	NA	NA	ENSG00000242001	1	AF186996.2	havana	processed_pseudogene	chr3:125681305-125681453:+
havana	gene	NA	NA	ENSG00000234458	4	OR7E130P	havana	unprocessed_pseudogene	chr3:125703349-125704312:+
havana	gene	NA	NA	ENSG00000243429	1	OR7E29P	havana	unprocessed_pseudogene	chr3:125712139-125713045:+
havana	gene	NA	NA	ENSG00000228963	3	OR7E93P	havana	unprocessed_pseudogene	chr3:125724539-125725445:+
havana	gene	NA	NA	ENSG00000239978	1	OR7E53P	havana	unprocessed_pseudogene	chr3:125734295-125735198:+
havana	gene	NA	NA	ENSG00000179170	11	OR7E97P	havana	unprocessed_pseudogene	chr3:125747084-125748098:+
havana	gene	NA	NA	ENSG00000239432	1	AF186996.1	havana	processed_pseudogene	chr3:125756086-125756462:+
havana	gene	NA	NA	ENSG00000284624	1	AC092902.4	havana	lncRNA	chr3:125766516-125852936:+
havana	gene	NA	NA	ENSG00000284660	1	AC092902.5	havana	transcribed_unprocessed_pseudogene	chr3:125766601-125766818:+
havana	gene	NA	NA	ENSG00000272840	1	AC092902.2	havana	lncRNA	chr3:125774714-125797953:+
havana	gene	NA	NA	ENSG00000239804	1	AC092902.1	havana	processed_pseudogene	chr3:125787888-125788146:-
mirbase	gene	NA	NA	ENSG00000221737	1	MIR548I1	mirbase	miRNA	chr3:125790404-125790552:-
havana	gene	NA	NA	ENSG00000242229	1	RPS3AP14	havana	processed_pseudogene	chr3:125795106-125795885:+
havana_tagene	gene	NA	NA	ENSG00000287617	1	AC092902.6	havana_tagene	lncRNA	chr3:125799887-125800616:-
havana	gene	NA	NA	ENSG00000241346	1	SNRPCP11	havana	processed_pseudogene	chr3:125816082-125816286:-
havana	gene	NA	NA	ENSG00000241288	8	LINC02614	havana	lncRNA	chr3:125827238-125916384:-
havana	gene	NA	NA	ENSG00000241278	1	ENPP7P4	havana	transcribed_unprocessed_pseudogene	chr3:125848223-125909372:+
havana	gene	NA	NA	ENSG00000248787	2	AC092903.2	havana	lncRNA	chr3:125907765-125916360:-
havana	gene	NA	NA	ENSG00000171084	15	FAM86JP	havana	transcribed_unprocessed_pseudogene	chr3:125916620-125930024:+
ensembl_havana	gene	NA	NA	ENSG00000189366	9	ALG1L	ensembl_havana	protein_coding	chr3:125929275-125937039:-
havana	gene	NA	NA	ENSG00000241439	1	AC092903.1	havana	processed_pseudogene	chr3:125958556-125958817:+
ensembl_havana	gene	NA	NA	ENSG00000114547	10	ROPN1B	ensembl_havana	protein_coding	chr3:125969160-125983454:+
ensembl_havana	gene	NA	NA	ENSG00000114544	16	SLC41A3	ensembl_havana	protein_coding	chr3:126006355-126101561:-
havana	gene	NA	NA	ENSG00000248607	1	AC117422.1	havana	lncRNA	chr3:126056923-126058228:+
havana	gene	NA	NA	ENSG00000250012	2	AC079848.1	havana	lncRNA	chr3:126083659-126095349:+
ensembl_havana	gene	NA	NA	ENSG00000144908	14	ALDH1L1	ensembl_havana	protein_coding	chr3:126103562-126197994:-
havana	gene	NA	NA	ENSG00000250218	1	ALDH1L1-AS1	havana	lncRNA	chr3:126103640-126108069:+
ensembl	gene	NA	NA	ENSG00000272020	1	RNU1-30P	ensembl	snRNA	chr3:126160283-126160445:-
havana	gene	NA	NA	ENSG00000246022	3	ALDH1L1-AS2	havana	lncRNA	chr3:126180012-126210169:+
havana_tagene	gene	NA	NA	ENSG00000287232	1	AC079848.2	havana_tagene	lncRNA	chr3:126213204-126247714:+
havana	gene	NA	NA	ENSG00000250934	2	AC016924.1	havana	lncRNA	chr3:126266747-126291525:+
havana_tagene	gene	NA	NA	ENSG00000251448	2	AC063919.1	havana_tagene	lncRNA	chr3:126288123-126301213:-
havana_tagene	gene	NA	NA	ENSG00000287440	1	AC063919.2	havana_tagene	lncRNA	chr3:126312385-126323406:+
ensembl_havana	gene	NA	NA	ENSG00000163884	4	KLF15	ensembl_havana	protein_coding	chr3:126342635-126357408:-
havana	gene	NA	NA	ENSG00000249833	7	CCDC37-DT	havana	lncRNA	chr3:126393032-126394851:-
ensembl_havana	gene	NA	NA	ENSG00000163885	12	CFAP100	ensembl_havana	protein_coding	chr3:126394909-126436556:+
havana	gene	NA	NA	ENSG00000279328	1	AC073439.1	havana	TEC	chr3:126432796-126434569:-
ensembl_havana	gene	NA	NA	ENSG00000070476	15	ZXDC	ensembl_havana	protein_coding	chr3:126437601-126475891:-
ensembl_havana	gene	NA	NA	ENSG00000159650	9	UROC1	ensembl_havana	protein_coding	chr3:126481166-126517773:-
ensembl_havana	gene	NA	NA	ENSG00000180767	10	CHST13	ensembl_havana	protein_coding	chr3:126524155-126543291:+
ensembl_havana	gene	NA	NA	ENSG00000180697	9	C3orf22	ensembl_havana	protein_coding	chr3:126526999-126558965:-
ensembl	gene	NA	NA	ENSG00000201968	1	RNA5SP138	ensembl	rRNA_pseudogene	chr3:126564565-126564678:-
ensembl_havana	gene	NA	NA	ENSG00000288436	1	AC024558.2	ensembl_havana	protein_coding	chr3:126571779-126608555:-
ensembl_havana	gene	NA	NA	ENSG00000197763	18	TXNRD3	ensembl_havana	protein_coding	chr3:126607059-126655124:-
havana	gene	NA	NA	ENSG00000248557	1	AC024558.1	havana	processed_pseudogene	chr3:126624792-126626061:+
havana	gene	NA	NA	ENSG00000198284	9	NUP210P1	havana	transcribed_processed_pseudogene	chr3:126660609-126671939:+
havana	gene	NA	NA	ENSG00000248850	1	AC078867.1	havana	processed_pseudogene	chr3:126672106-126673223:-
ensembl_havana	gene	NA	NA	ENSG00000159685	11	CHCHD6	ensembl_havana	protein_coding	chr3:126704240-126960420:+
havana	gene	NA	NA	ENSG00000249558	1	RCC2P4	havana	processed_pseudogene	chr3:126766434-126767475:-
havana	gene	NA	NA	ENSG00000280053	1	AC011199.1	havana	TEC	chr3:126973065-126976426:+
ensembl_havana	gene	NA	NA	ENSG00000114554	11	PLXNA1	ensembl_havana	protein_coding	chr3:126988594-127037392:+
havana_tagene	gene	NA	NA	ENSG00000287784	1	AC112482.3	havana_tagene	lncRNA	chr3:127165506-127218473:-
ensembl_havana	gene	NA	NA	ENSG00000214324	5	C3orf56	ensembl_havana	protein_coding	chr3:127193131-127198185:+
ensembl	gene	NA	NA	ENSG00000212556	1	AC112482.1	ensembl	misc_RNA	chr3:127202372-127202473:-
havana	gene	NA	NA	ENSG00000243016	1	AC112482.2	havana	unprocessed_pseudogene	chr3:127221194-127221881:-
ensembl	gene	NA	NA	ENSG00000201288	1	RNU6-1047P	ensembl	snRNA	chr3:127240968-127241074:-
havana_tagene	gene	NA	NA	ENSG00000286919	1	AC133681.1	havana_tagene	lncRNA	chr3:127274581-127278304:+
havana	gene	NA	NA	ENSG00000239620	2	PRR20G	havana	protein_coding	chr3:127283784-127288046:-
havana	gene	NA	NA	ENSG00000244215	2	LINC02016	havana	lncRNA	chr3:127322307-127390670:-
havana	gene	NA	NA	ENSG00000239921	6	LINC01471	havana	lncRNA	chr3:127480690-127537817:-
havana	gene	NA	NA	ENSG00000240562	1	AC016968.1	havana	lncRNA	chr3:127489553-127490787:+
havana	gene	NA	NA	ENSG00000282975	1	LINC02034	havana	lncRNA	chr3:127537937-127540485:+
havana	gene	NA	NA	ENSG00000282860	1	AC084035.1	havana	lncRNA	chr3:127571232-127571838:-
ensembl_havana	gene	NA	NA	ENSG00000163870	16	TPRA1	ensembl_havana	protein_coding	chr3:127571232-127598267:-
mirbase	gene	NA	NA	ENSG00000275067	1	MIR6825	mirbase	miRNA	chr3:127575266-127575331:-
mirbase	gene	NA	NA	ENSG00000276083	1	MIR7976	mirbase	miRNA	chr3:127587111-127587176:-
ensembl_havana	gene	NA	NA	ENSG00000073111	14	MCM2	ensembl_havana	protein_coding	chr3:127598410-127622436:+
havana	gene	NA	NA	ENSG00000285600	1	AC023593.1	havana	lncRNA	chr3:127620106-127629049:-
ensembl_havana	gene	NA	NA	ENSG00000114631	11	PODXL2	ensembl_havana	protein_coding	chr3:127629185-127672802:+
ensembl_havana	gene	NA	NA	ENSG00000114626	18	ABTB1	ensembl_havana	protein_coding	chr3:127672935-127680926:+
ensembl_havana	gene	NA	NA	ENSG00000074416	14	MGLL	ensembl_havana	protein_coding	chr3:127689062-128052190:-
havana_tagene	gene	NA	NA	ENSG00000287143	1	AC117480.1	havana_tagene	lncRNA	chr3:127837436-127845499:+
ensembl_havana	gene	NA	NA	ENSG00000187715	13	KBTBD12	ensembl_havana	protein_coding	chr3:127915232-127987671:+
ensembl	gene	NA	NA	ENSG00000201210	1	RNA5SP139	ensembl	rRNA_pseudogene	chr3:127963608-127963724:+
ensembl_havana	gene	NA	NA	ENSG00000058262	10	SEC61A1	ensembl_havana	protein_coding	chr3:128051641-128071683:+
ensembl_havana	gene	NA	NA	ENSG00000175792	12	RUVBL1	ensembl_havana	protein_coding	chr3:128064778-128153914:-
ensembl	gene	NA	NA	ENSG00000222627	1	RNU2-37P	ensembl	snRNA	chr3:128075073-128075249:-
havana	gene	NA	NA	ENSG00000239608	1	RUVBL1-AS1	havana	lncRNA	chr3:128075810-128079056:+
ensembl	gene	NA	NA	ENSG00000212344	1	RNU6-823P	ensembl	snRNA	chr3:128141875-128141977:-
ensembl_havana	gene	NA	NA	ENSG00000132394	11	EEFSEC	ensembl_havana	protein_coding	chr3:128153481-128408646:+
havana	gene	NA	NA	ENSG00000285619	1	AL449214.1	havana	lncRNA	chr3:128181402-128194452:-
ensembl_havana	gene	NA	NA	ENSG00000179407	3	DNAJB8	ensembl_havana	protein_coding	chr3:128462439-128467248:-
havana	gene	NA	NA	ENSG00000242049	1	DNAJB8-AS1	havana	lncRNA	chr3:128463594-128472317:+
ensembl_havana	gene	NA	NA	ENSG00000179348	12	GATA2	ensembl_havana	protein_coding	chr3:128479427-128493201:-
havana	gene	NA	NA	ENSG00000244300	3	GATA2-AS1	havana	lncRNA	chr3:128489212-128502970:+
havana	gene	NA	NA	ENSG00000239405	1	TMED10P2	havana	processed_pseudogene	chr3:128538020-128538631:+
havana_tagene	gene	NA	NA	ENSG00000286806	1	AC080005.1	havana_tagene	lncRNA	chr3:128563316-128564431:+
ensembl_havana	gene	NA	NA	ENSG00000198685	3	LINC01565	ensembl_havana	lncRNA	chr3:128572000-128576086:-
ensembl_havana	gene	NA	NA	ENSG00000163902	12	RPN1	ensembl_havana	protein_coding	chr3:128619969-128681075:-
ensembl	gene	NA	NA	ENSG00000277250	1	AC079945.2	ensembl	misc_RNA	chr3:128673681-128674021:-
havana	gene	NA	NA	ENSG00000242551	2	POU5F1P6	havana	unprocessed_pseudogene	chr3:128674735-128677005:-
ensembl	gene	NA	NA	ENSG00000207130	1	AC079945.1	ensembl	snoRNA	chr3:128714571-128714705:-
ensembl_havana	gene	NA	NA	ENSG00000075785	13	RAB7A	ensembl_havana	protein_coding	chr3:128726183-128814798:+
havana	gene	NA	NA	ENSG00000239503	1	MARK2P8	havana	processed_pseudogene	chr3:128748538-128749489:-
havana	gene	NA	NA	ENSG00000242992	3	FTH1P4	havana	processed_pseudogene	chr3:128764466-128765018:-
ensembl	gene	NA	NA	ENSG00000244232	3	RN7SL698P	ensembl	misc_RNA	chr3:128785147-128785448:+
havana	gene	NA	NA	ENSG00000239483	1	RPS15AP16	havana	processed_pseudogene	chr3:128798841-128799201:-
havana	gene	NA	NA	ENSG00000244065	1	MARK2P17	havana	processed_pseudogene	chr3:128843564-128844404:-
havana	gene	NA	NA	ENSG00000243022	1	MARK3P3	havana	processed_pseudogene	chr3:128848673-128849399:-
havana	gene	NA	NA	ENSG00000242062	1	MARK2P6	havana	processed_pseudogene	chr3:128852112-128853008:-
havana	gene	NA	NA	ENSG00000261159	1	AC112484.3	havana	lncRNA	chr3:128859716-128860526:-
havana	gene	NA	NA	ENSG00000231305	4	AC112484.1	havana	lncRNA	chr3:128860620-128871540:-
havana	gene	NA	NA	ENSG00000250796	1	AC112484.2	havana	processed_pseudogene	chr3:128869624-128870026:+
havana_tagene	gene	NA	NA	ENSG00000287110	1	AC112484.5	havana_tagene	lncRNA	chr3:128872349-128876218:-
ensembl_havana	gene	NA	NA	ENSG00000177646	19	ACAD9	ensembl_havana	protein_coding	chr3:128879596-128916067:+
ensembl_havana	gene	NA	NA	ENSG00000114656	12	KIAA1257	ensembl_havana	protein_coding	chr3:128909866-129002690:-
havana	gene	NA	NA	ENSG00000279507	1	AC112484.4	havana	TEC	chr3:128914833-128915060:-
ensembl_havana	gene	NA	NA	ENSG00000114654	7	EFCC1	ensembl_havana	protein_coding	chr3:129001629-129040742:+
havana	gene	NA	NA	ENSG00000249505	1	AC108673.1	havana	processed_pseudogene	chr3:129045763-129046921:+
