PeakID (cmd=annotatePeaks.pl /home/abykov/neuroblastoma/temp_results/BEDs/CLB_SKN_M_chr.bed hg38)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
*-39	chr4	15005672	15048051	+	0	NA	intron (NR_125911, intron 2 of 5)	intron (NR_125911, intron 2 of 5)	24380	NM_001177384	132864		NM_182485	ENSG00000137449	CPEB2	CPE-BP2|CPEB-2|hCPEB-2	cytoplasmic polyadenylation element binding protein 2	protein-coding
*-21	chr2	174576448	174631578	+	0	NA	intron (NM_001077269, intron 1 of 7)	Ricksha_0|DNA|MULE-MuDR	-5782	NM_001375838	7456		NM_003387	ENSG00000115935	WIPF1	PRPL-2|WAS2|WASPIP|WIP	WAS/WASL interacting protein family member 1	protein-coding
*-220	chr12	108791898	108854582	+	0	NA	intron (NM_001161330, intron 3 of 13)	intron (NM_001161330, intron 3 of 13)	4311	NM_001161331	54434		NM_018984	ENSG00000084112	SSH1	SSH1L	slingshot protein phosphatase 1	protein-coding
*-115	chr3	149369098	149408351	+	0	NA	Intergenic	MER74A|LTR|ERVL	10946	NR_109810	100874091		NR_046650	ENSG00000240541	TM4SF1-AS1	-	TM4SF1 antisense RNA 1	ncRNA
*-241	chr13	33190598	33298251	+	0	NA	intron (NM_001243476, intron 5 of 17)	intron (NM_001243476, intron 5 of 17)	-33130	NR_046693	100874241		NR_046693	ENSG00000236581	STARD13-AS	STARD13-AS2	STARD13 antisense RNA	ncRNA
*-190	chr17	46026848	46203451	+	0	NA	intron (NM_015443, intron 2 of 14).2	AluSq2|SINE|Alu	77633	NM_001193466	284058		NM_015443	ENSG00000120071	KANSL1	C17DELq21.31|CENP-36|DEL17Q21.31|KDVS|KIAA1267|MSL1v1|NSL1|hMSL1v1	KAT8 regulatory NSL complex subunit 1	protein-coding
*-325	chr9	131361098	131457501	+	0	NA	intron (NM_013318, intron 1 of 31)	AluSp|SINE|Alu	15213	NM_001384823	84726		NM_013318	ENSG00000288701	PRRC2B	BAT2L|BAT2L1|KIAA0515|LQFBS-1	proline rich coiled-coil 2B	protein-coding
*-354	chr5	56818071	56851051	+	0	NA	intron (NM_005921, intron 1 of 19)	AluSx3|SINE|Alu	19012	NM_005921	4214		NM_005921	ENSG00000095015	MAP3K1	MAPKKK1|MEKK|MEKK 1|MEKK1|SRXY6	mitogen-activated protein kinase kinase kinase 1	protein-coding
*-356	chr5	65100548	65248151	+	0	NA	intron (NM_197941, intron 22 of 24)	Harlequin-int|LTR|ERV1	307571	NM_197941	11174		NM_014273	ENSG00000049192	ADAMTS6	ADAM-TS 6|ADAM-TS6|ADAMTS-6	ADAM metallopeptidase with thrombospondin type 1 motif 6	protein-coding
*-435	chr16	28125248	28208917	+	0	NA	intron (NM_001270940, intron 6 of 24)	L2c|LINE|L2	44883	NM_001270940	23214		NM_015171	ENSG00000169180	XPO6	EXP6|RANBP20	exportin 6	protein-coding
*-68	chr4	185180698	185403601	+	0	NA	intron (NM_001378032, intron 7 of 19)	intron (NM_001378032, intron 7 of 19)	82592	NM_001378038	83891		NM_031953	ENSG00000109762	SNX25	MSTP043|SBBI31	sorting nexin 25	protein-coding
*-247	chr1	8361498	8420686	+	0	NA	intron (NM_001042682, intron 2 of 12)	L2c|LINE|L2	32740	NM_001042682	473		NM_012102	ENSG00000142599	RERE	ARG|ARP|ATN1L|DNB1|NEDBEH	arginine-glutamic acid dipeptide repeats	protein-coding
*-342	chr6	140041948	140079801	+	0	NA	intron (NR_121623, intron 1 of 1)	L2a|LINE|L2	-69613	NR_121624	103352541		NR_121624		LOC103352541	-	uncharacterized LOC103352541	ncRNA
*-249	chr1	8646698	8719401	+	0	NA	intron (NM_001042681, intron 1 of 22)	(A)n|Simple_repeat|Simple_repeat	134591	NM_012102	473		NM_012102	ENSG00000142599	RERE	ARG|ARP|ATN1L|DNB1|NEDBEH	arginine-glutamic acid dipeptide repeats	protein-coding
*-5	chr2	54963298	55065651	+	0	NA	intron (NM_153828, intron 1 of 6)	U6|snRNA|snRNA	-4202	NM_007008	57142		NM_007008	ENSG00000115310	RTN4	ASY|NI220/250|NOGO|NSP|NSP-CL|Nbla00271|Nbla10545|RTN-X|RTN4-A|RTN4-B1|RTN4-B2|RTN4-C	reticulon 4	protein-coding
*-63	chr4	150202298	150260401	+	0	NA	intron (NR_036614, intron 8 of 16)	intron (NR_036614, intron 8 of 16)	152904	NM_001040260	166614		NM_152619	ENSG00000170390	DCLK2	CL2|CLICK-II|CLICK2|CLIK2|DCAMKL2|DCDC3|DCDC3B|DCK2	doublecortin like kinase 2	protein-coding
*-138	chr8	38999984	39046151	+	0	NA	intron (NR_027638, intron 8 of 20)	intron (NR_027638, intron 8 of 20)	-4382	NR_145988	109616979		NR_145736	ENSG00000207199	SNORD38D	-	small nucleolar RNA, C/D box 38D	snoRNA
*-416	chr15	101640398	101717901	+	0	NA	intron (NM_152334, intron 12 of 18)	L1MDa|LINE|L1	-26758	NM_001307960	80213		NM_025141	ENSG00000184277	TM2D3	BLP2	TM2 domain containing 3	protein-coding
*-414	chr15	98716248	98765001	+	0	NA	intron (NM_000875, intron 2 of 20)	intron (NM_000875, intron 2 of 20)	-43802	NR_039864	100616432		NR_039864	ENSG00000264480	MIR4714	-	microRNA 4714	ncRNA
*-345	chr6	151021698	151088251	+	0	NA	intron (NM_015440, intron 26 of 27)	intron (NM_015440, intron 26 of 27)	-47701	NR_162145	113219461		NR_162145		MIR12131	-	microRNA 12131	ncRNA
*-9	chr2	68027448	68060026	+	0	NA	intron (NM_006333, intron 4 of 4)	intron (NM_006333, intron 4 of 4)	19267	NM_001190265	10438		NM_006333	ENSG00000197223	C1D	LRP1|Rrp47|SUN-CoR|SUNCOR|hC1D	C1D nuclear receptor corepressor	protein-coding
*-373	chr5	154193733	154320951	+	0	NA	intron (NM_198321, intron 1 of 11)	intron (NM_198321, intron 1 of 11)	66609	NM_198321	55568		NM_017540	ENSG00000164574	GALNT10	GALNACT10|PPGALNACT10|PPGANTASE10	polypeptide N-acetylgalactosaminyltransferase 10	protein-coding
*-206	chr12	51359498	51434501	+	0	NA	intron (NM_001258401, intron 1 of 24)	AluSg|SINE|Alu	-5593	NM_007210	11226		NM_007210	ENSG00000139629	GALNT6	GALNAC-T6|GalNAcT6	polypeptide N-acetylgalactosaminyltransferase 6	protein-coding
*-204	chr12	49480848	49519451	+	0	NA	exon (NM_023071, exon 9 of 14)	exon (NM_023071, exon 9 of 14)	-38881	NM_001314030	23416		NM_012284	ENSG00000135519	KCNH3	BEC1|ELK2|Kv12.2	potassium voltage-gated channel subfamily H member 3	protein-coding
*-188	chr17	45064297	45129532	+	0	NA	intron (NM_021079, intron 5 of 11)	intron (NM_021079, intron 5 of 11)	17519	NR_106842	102465470		NR_106842	ENSG00000277249	MIR6784	hsa-mir-6784	microRNA 6784	ncRNA
*-229	chr7	23426598	23479601	+	0	NA	intron (NM_006547, intron 2 of 14)	AluSc|SINE|Alu	17392	NM_006547	10643		NM_006547	ENSG00000136231	IGF2BP3	CT98|IMP-3|IMP3|KOC|KOC1|VICKZ3	insulin like growth factor 2 mRNA binding protein 3	protein-coding
*-191	chr17	50026998	50084801	+	0	NA	promoter-TSS (NR_038230)	promoter-TSS (NR_038230)	-160	NR_038230	284080		NR_038230	ENSG00000246640	PICART1	-	p53 inducible cancer associated RNA transcript 1	ncRNA
*-227	chr7	18491298	18598001	+	0	NA	intron (NR_135835, intron 3 of 3)	L2a|LINE|L2	35379	NM_001204147	9734		NM_014707	ENSG00000048052	HDAC9	ARCND4|HD7|HD7b|HD9|HDAC|HDAC7|HDAC7B|HDAC9B|HDAC9FL|HDRP|MITR	histone deacetylase 9	protein-coding
*-322	chr9	129479948	129503501	+	0	NA	intron (NR_038955, intron 1 of 4)	L2c|LINE|L2	3064	NR_038955	100506190		NR_038955		LINC00963	MetaLnc9	long intergenic non-protein coding RNA 963	ncRNA
*-103	chr3	81722148	81765851	+	0	NA	intron (NM_000158, intron 1 of 15)	intron (NM_000158, intron 1 of 15)	17646	NM_000158	2632		NM_000158	ENSG00000114480	GBE1	APBD|GBE|GSD4	1,4-alpha-glucan branching enzyme 1	protein-coding
*-432	chr16	11765998	11803001	+	0	NA	intron (NM_014153, intron 1 of 22)	AluJr|SINE|Alu	12759	NM_014153	29066		NM_014153	ENSG00000122299	ZC3H7A	HSPC055|ZC3H7|ZC3HDC7	zinc finger CCCH-type containing 7A	protein-coding
*-166	chr11	74120548	74164051	+	0	NA	intron (NM_015531, intron 3 of 30)	intron (NM_015531, intron 3 of 30)	28703	NM_001286577	26005		NM_015531	ENSG00000168014	C2CD3	OFD14	C2 domain containing 3 centriole elongation regulator	protein-coding
*-164	chr11	66073351	66143451	+	0	NA	intron (NM_018026, intron 1 of 23)	MLT1B|LTR|ERVL-MaLR	38129	NM_018026	55690		NM_018026	ENSG00000175115	PACS1	MRD17|SHMS	phosphofurin acidic cluster sorting protein 1	protein-coding
*-73	chr10	31999448	32053442	+	0	NA	intron (NM_004521, intron 15 of 25)	AluY|SINE|Alu	29980	NM_004521	3799		NM_004521	ENSG00000170759	KIF5B	HEL-S-61|KINH|KNS|KNS1|UKHC	kinesin family member 5B	protein-coding
*-328	chr6	16657548	16771001	+	0	NA	intron (NM_000332, intron 3 of 8)	intron (NM_000332, intron 3 of 8)	45910	NR_152113	6310		NM_000332	ENSG00000124788	ATXN1	ATX1|D6S504E|SCA1	ataxin 1	protein-coding
*-78	chr10	71967360	72014501	+	0	NA	intron (NM_004273, intron 1 of 2)	MLT1J2|LTR|ERVL-MaLR	26535	NM_004273	9469		NM_004273	ENSG00000122863	CHST3	C6ST|C6ST1|HSD	carbohydrate sulfotransferase 3	protein-coding
*-171	chr11	94771340	94813851	+	0	NA	intron (NM_001301007, intron 1 of 11)	intron (NM_001301007, intron 1 of 11)	24239	NM_130847	154810		NM_130847	ENSG00000166025	AMOTL1	JEAP	angiomotin like 1	protein-coding
*-114	chr3	136136148	136186501	+	0	NA	intron (NM_018133, intron 1 of 1)	L1MB7|LINE|L1	33144	NM_001145417	55167		NM_018133	ENSG00000174579	MSL2	MSL-2|MSL2L1|RNF184	MSL complex subunit 2	protein-coding
*-116	chr3	149530548	149584151	+	0	NA	intron (NM_001348362, intron 6 of 9)	AluSx1|SINE|Alu	82652	NM_004617	7104		NM_004617	ENSG00000169903	TM4SF4	ILTMP|il-TMP	transmembrane 4 L six family member 4	protein-coding
*-250	chr1	17531298	17570401	+	0	NA	intron (NR_137287, intron 1 of 29)	L2a|LINE|L2	11151	NR_137288	55160		NM_018125	ENSG00000074964	ARHGEF10L	GrinchGEF	Rho guanine nucleotide exchange factor 10 like	protein-coding
*-438	chr16	69431848	69497251	+	0	NA	3' UTR (NM_030579, exon 5 of 5)	3' UTR (NM_030579, exon 5 of 5)	39930	NM_030579	80777		NM_030579	ENSG00000103018	CYB5B	CYB5-M|CYPB5M|OMB5	cytochrome b5 type B	protein-coding
*-393	chr14	77562348	77613766	+	0	NA	intron (NM_004863, intron 2 of 11)	AluJr|SINE|Alu	28580	NM_004863	9517		NM_004863	ENSG00000100596	SPTLC2	HSN1C|LCB2|LCB2A|NSAN1C|SPT2|hLCB2a	serine palmitoyltransferase long chain base subunit 2	protein-coding
*-132	chr3	194552998	194599901	+	0	NA	Intergenic	Intergenic	-7819	NR_047575	100507297		NR_047573		TMEM44-AS1	-	TMEM44 antisense RNA 1	ncRNA
*-213	chr12	93766798	93826401	+	0	NA	intron (NM_001320100, intron 2 of 2)	AluSx1|SINE|Alu	-58776	NR_110093	101928731		NR_110092	ENSG00000258274	CRADD-AS1	-	CRADD antisense RNA 1	ncRNA
*-301	chr9	14236498	14283951	+	0	NA	intron (NR_161383, intron 1 of 7)	intron (NR_161383, intron 1 of 7)	40040	NM_001369480	4781		NM_005596	ENSG00000147862	NFIB	CTF|HMGIC/NFIB|MACID|NF-I/B|NF1-B|NFI-B|NFI-RED|NFIB2|NFIB3	nuclear factor I B	protein-coding
*-263	chr1	85540598	85586901	+	0	NA	intron (NM_001134445, intron 1 of 6)	L1MEc|LINE|L1	14451	NM_001134445	23576		NM_012137	ENSG00000153904	DDAH1	DDAH|DDAH-1|DDAHI|HEL-S-16	dimethylarginine dimethylaminohydrolase 1	protein-coding
*-403	chr15	48524198	48642787	+	0	NA	intron (NM_000138, intron 6 of 65)	intron (NM_000138, intron 6 of 65)	62217	NM_000138	2200		NM_000138	ENSG00000166147	FBN1	ACMICD|ECTOL1|FBN|GPHYSD2|MASS|MFLS|MFS1|OCTD|SGS|SSKS|WMS|WMS2	fibrillin 1	protein-coding
*-182	chr17	4194598	4257901	+	0	NA	intron (NR_047571, intron 2 of 23)	intron (NR_047571, intron 2 of 23)	37598	NM_001257999	51479		NM_016376	ENSG00000185722	ANKFY1	ANKHZN|BTBD23|ZFYVE14	ankyrin repeat and FYVE domain containing 1	protein-coding
*-23	chr2	177494698	177549795	+	0	NA	intron (NM_003659, intron 18 of 19)	intron (NM_003659, intron 18 of 19)	30550	NM_152517	150737		NM_152517	ENSG00000196659	IFT70B	IFT70|TTC30B|fleer	intraflagellar transport 70B	protein-coding
*-348	chr6	157984854	158087051	+	0	NA	intron (NM_003898, intron 4 of 26)	L1PA13|LINE|L1	18859	NM_001178088	8871		NM_003898	ENSG00000078269	SYNJ2	INPP5H	synaptojanin 2	protein-coding
*-135	chr8	25178148	25216001	+	0	NA	intron (NM_024940, intron 1 of 51)	intron (NM_024940, intron 1 of 51)	12385	NM_024940	80005		NM_024940	ENSG00000147459	DOCK5	-	dedicator of cytokinesis 5	protein-coding
*-300	chr9	12778011	12835101	+	0	NA	intron (NR_125775, intron 1 of 3)	LTR37B|LTR|ERV1	7833	NR_125775	101929467		NR_125775	ENSG00000235448	LURAP1L-AS1	-	LURAP1L antisense RNA 1	ncRNA
*-185	chr17	31232598	31278401	+	0	NA	intron (NM_001042492, intron 31 of 57)	intron (NM_001042492, intron 31 of 57)	41740	NM_002544	4974		NM_002544	ENSG00000126861	OMG	OMGP	oligodendrocyte myelin glycoprotein	protein-coding
*-28	chr2	190883819	190963751	+	0	NA	intron (NM_014905, intron 9 of 17)	MIR3|SINE|MIR	42964	NM_001256310	2744		NM_014905	ENSG00000115419	GLS	AAD20|CASGID|DEE71|EIEE71|GAC|GAM|GDPAG|GLS1|KGA	glutaminase	protein-coding
*-4	chr2	46314748	46365301	+	0	NA	intron (NM_001430, intron 1 of 15)	intron (NM_001430, intron 1 of 15)	42617	NM_001430	2034		NM_001430	ENSG00000116016	EPAS1	ECYT4|HIF2A|HLF|MOP2|PASD2|bHLHe73	endothelial PAS domain protein 1	protein-coding
*-170	chr11	86803238	86821251	+	0	NA	intron (NR_120591, intron 1 of 4)	intron (NR_120591, intron 1 of 4)	11702	NR_120591	11098		NM_007173	ENSG00000150687	PRSS23	SIG13|SPUVE|ZSIG13	serine protease 23	protein-coding
*-251	chr1	24762848	24807701	+	0	NA	intron (NM_013943, intron 1 of 5)	intron (NM_013943, intron 1 of 5)	39827	NM_013943	25932		NM_013943	ENSG00000169504	CLIC4	CLIC4L|H1|MTCLIC|huH1|p64H1	chloride intracellular channel 4	protein-coding
*-244	chr13	49061898	49143101	+	0	NA	intron (NM_001079673, intron 3 of 25)	Tigger20a|DNA|TcMar-Tigger	-7818	NM_014923	22862		NM_014923	ENSG00000102531	FNDC3A	FNDC3|HUGO|bA203I16.1|bA203I16.5	fibronectin type III domain containing 3A	protein-coding
*-246	chr13	114096848	114129619	+	0	NA	intron (NM_001320821, intron 1 of 25).2	intron (NM_001320821, intron 1 of 25).2	19390	NM_001320821	22821		NM_007368	ENSG00000185989	RASA3	GAP1IP4BP|GAPIII	RAS p21 protein activator 3	protein-coding
*-180	chr11	128452948	128519309	+	0	NA	exon (NM_001330451, exon 4 of 7)	exon (NM_001330451, exon 4 of 7)	36182	NM_001162422	2113		NM_005238	ENSG00000134954	ETS1	ETS-1|EWSR2|c-ets-1|p54	ETS proto-oncogene 1, transcription factor	protein-coding
*-305	chr9	33271498	33355551	+	0	NA	intron (NM_147134, intron 6 of 15)	intron (NM_147134, intron 6 of 15)	23008	NM_147134	4799		NM_002504	ENSG00000086102	NFX1	NFX2|TEG-42|Tex42	nuclear transcription factor, X-box binding 1	protein-coding
*-130	chr3	188185398	188301151	+	0	NA	intron (NR_164692, intron 2 of 9)	intron (NR_164692, intron 2 of 9)	30378	NM_005578	4026		NM_005578	ENSG00000145012	LPP	-	LIM domain containing preferred translocation partner in lipoma	protein-coding
*-27	chr2	189366698	189413601	+	0	NA	Intergenic	Intergenic	-51284	NM_001303096	84128		NM_032168	ENSG00000115368	WDR75	NET16|UTP17	WD repeat domain 75	protein-coding
*-95	chr3	15675398	15823051	+	0	NA	intron (NM_001349280, intron 3 of 26)	AluYb8|SINE|Alu	7323	NM_001195099	23243		NM_015199	ENSG00000206560	ANKRD28	CFAP79|FAP79|PITK|PPP1R65	ankyrin repeat domain 28	protein-coding
*-359	chr5	76488248	76543601	+	0	NA	intron (NM_006633, intron 2 of 35)	AluJb|SINE|Alu	-31485	NM_001285460	10788		NM_006633	ENSG00000145703	IQGAP2	-	IQ motif containing GTPase activating protein 2	protein-coding
*-175	chr11	111718148	111751501	+	0	NA	intron (NM_181700, intron 13 of 13)	intron (NM_181700, intron 13 of 13)	31565	NM_181699	5519		NM_002716	ENSG00000137713	PPP2R1B	PP2A-Abeta|PR65B	protein phosphatase 2 scaffold subunit Abeta	protein-coding
*-252	chr1	30954048	31062716	+	0	NA	intron (NM_014676, intron 3 of 21)	intron (NM_014676, intron 3 of 21)	-40145	NR_003066	692200		NR_003066		SNORD103C	HBII-251|SNORD85	small nucleolar RNA, C/D box 103C	snoRNA
*-357	chr5	69237793	69296951	+	0	NA	intron (NR_136690, intron 7 of 10)	AluSz6|SINE|Alu	32486	NM_001799	1022		NM_001799	ENSG00000134058	CDK7	CAK|CAK1|CDKN7|HCAK|MO15|STK1|p39MO15	cyclin dependent kinase 7	protein-coding
*-69	chr10	3071625	3127751	+	0	NA	intron (NM_001345944, intron 3 of 21)	intron (NM_001345944, intron 3 of 21)	-4921	NM_001323070	5214		NM_002627	ENSG00000067057	PFKP	ATP-PFK|PFK-C|PFK-P|PFKF	phosphofructokinase, platelet	protein-coding
*-143	chr8	66505598	66563401	+	0	NA	Intergenic	Intergenic	40933	NM_152765	254778		NM_152765	ENSG00000169085	VXN	C8orf46	vexin	protein-coding
*-255	chr1	39102248	39486501	+	0	NA	intron (NM_012090, intron 17 of 92)	intron (NM_012090, intron 17 of 92)	-114699	NM_015038	23499		NM_012090	ENSG00000127603	MACF1	ABP620|ACF7|KIAA0754|LIS9|Lnc-PMIF|MACF|OFC4	microtubule actin crosslinking factor 1	protein-coding
*-172	chr11	95983998	96338436	+	0	NA	intron (NM_032427, intron 1 of 4)	intron (NM_032427, intron 1 of 4)	-180221	NR_036125	100422991		NR_036125	ENSG00000266192	MIR1260B	mir-1260b	microRNA 1260b	ncRNA
*-15	chr2	108537353	108599501	+	0	NA	intron (NM_001371495, intron 1 of 10)	L1MB2|LINE|L1	-2278	NM_001371498	3987		NM_004987	ENSG00000169756	LIMS1	PINCH|PINCH-1|PINCH1	LIM zinc finger domain containing 1	protein-coding
*-226	chr7	6226048	6284751	+	0	NA	intron (NM_004227, intron 1 of 12)	intron (NM_004227, intron 1 of 12)	17225	NM_001367580	9265		NM_004227	ENSG00000008256	CYTH3	ARNO3|GRP1|PSCD3|cytohesin-3	cytohesin 3	protein-coding
*-224	chr12	121921555	121965951	+	0	NA	intron (NM_144668, intron 7 of 21)	intron (NM_144668, intron 7 of 21)	25161	NM_144668	144406		NM_144668	ENSG00000158023	CFAP251	CaM-IP4|SPGF33|WDR66	cilia and flagella associated protein 251	protein-coding
*-198	chr12	27541148	27624851	+	0	NA	intron (NM_001198915, intron 2 of 26)	intron (NM_001198915, intron 2 of 26)	58793	NM_001198915	8496		NM_003622	ENSG00000110841	PPFIBP1	L2|NEDSMBA|SGT2|hSGT2|hSgt2p	PPFIA binding protein 1	protein-coding
*-55	chr4	113435198	113476701	+	0	NA	intron (NM_001321571, intron 19 of 20)	intron (NM_001321571, intron 19 of 20)	163110	NM_001354280	287		NM_001148	ENSG00000145362	ANK2	ANK-2|CFAP87|FAP87|LQT4|brank-2	ankyrin 2	protein-coding
*-419	chr20	35301598	35345051	+	0	NA	intron (NM_018244, intron 7 of 9)	intron (NM_018244, intron 7 of 9)	-30899	NM_178468	128876		NM_178468	ENSG00000125998	FAM83C	C20orf128|dJ614O4.7	family with sequence similarity 83 member C	protein-coding
*-77	chr10	69323648	69364751	+	0	NA	intron (NM_033498, intron 5 of 20)	L2c|LINE|L2	25352	NM_000188	3098		NM_000188	ENSG00000156515	HK1	HK|HK1-ta|HK1-tb|HK1-tc|HKD|HKI|HMSNR|HXK1|NEDVIBA|NMSR|RP79|hexokinase	hexokinase 1	protein-coding
*-181	chr17	667898	706401	+	0	NA	intron (NM_001128159, intron 4 of 21).2	AluSx1|SINE|Alu	27690	NM_001366253	55275		NM_018289	ENSG00000141252	VPS53	HCCS1|PCH2E|hVps53L|pp13624	VPS53 subunit of GARP complex	protein-coding
*-417	chr20	17939098	17975101	+	0	NA	intron (NM_001282454, intron 1 of 12)	intron (NM_001282454, intron 1 of 12)	5847	NR_003045	692086		NR_003045	ENSG00000212232	SNORD17	HBI-43	small nucleolar RNA, C/D box 17	snoRNA
*-131	chr3	192851648	192915160	+	0	NA	intron (NM_178496, intron 1 of 1)	intron (NM_178496, intron 1 of 1)	34452	NM_178496	151963		NM_178496	ENSG00000180611	MB21D2	C3orf59|D2A|hMB21D2	Mab-21 domain containing 2	protein-coding
*-209	chr12	67651730	67693001	+	0	NA	Intergenic	MLT1B|LTR|ERVL-MaLR	23620	NM_006482	8445		NM_003583	ENSG00000127334	DYRK2	-	dual specificity tyrosine phosphorylation regulated kinase 2	protein-coding
*-123	chr3	172044198	172186201	+	0	NA	intron (NM_022763, intron 2 of 25)	intron (NM_022763, intron 2 of 25)	74668	NM_001135095	64778		NM_022763	ENSG00000075420	FNDC3B	FAD104|PRO4979|YVTM2421	fibronectin type III domain containing 3B	protein-coding
*-302	chr9	16499798	16547801	+	0	NA	intron (NM_001317940, intron 4 of 5)	AluSq|SINE|Alu	-203015	NR_151723	111216284		NR_151723	ENSG00000234779	BNC2-AS1	-	BNC2 antisense RNA 1	ncRNA
*-207	chr12	54220148	54286601	+	0	NA	intron (NM_012117, intron 2 of 4)	AluSz6|SINE|Alu	6171	NM_001127322	23468		NM_012117	ENSG00000094916	CBX5	HEL25|HP1|HP1A|HP1alpha	chromobox 5	protein-coding
*-81	chr10	77385248	77437951	+	0	NA	intron (NM_001322836, intron 1 of 27)	MIRc|SINE|MIR	60727	NR_126365	101929286		NR_126365		KCNMA1-AS3	-	KCNMA1 antisense RNA 3	ncRNA
*-86	chr10	112953248	113100451	+	0	NA	intron (NM_001363501, intron 4 of 13)	intron (NM_001363501, intron 4 of 13)	-18506	NR_132769	106635520		NR_132769		SNORA87	-	small nucleolar RNA, H/ACA box 87	snoRNA
*-45	chr4	76579198	76609551	+	0	NA	intron (NM_020859, intron 2 of 10)	L2b|LINE|L2	18823	NR_039655	100616254		NR_039655	ENSG00000283682	MIR548AH	-	microRNA 548ah	ncRNA
*-340	chr6	113344348	113414701	+	0	NA	Intergenic	Intergenic	53923	NR_149098	105377957		NR_149098	ENSG00000232316	LINC02518	-	long intergenic non-protein coding RNA 2518	ncRNA
*-308	chr9	37921498	37979401	+	0	NA	intron (NM_003028, intron 4 of 5)	intron (NM_003028, intron 4 of 5)	-46096	NR_024872	92014		NM_033412	ENSG00000122696	SLC25A51	CG7943|MCART1	solute carrier family 25 member 51	protein-coding
*-79	chr10	73993048	74146251	+	0	NA	intron (NM_014000, intron 2 of 21)	intron (NM_014000, intron 2 of 21)	71533	NM_014000	7414		NM_003373	ENSG00000035403	VCL	CMD1W|CMH15|HEL114|MV|MVCL|VINC	vinculin	protein-coding
*-178	chr11	122066448	122106551	+	0	NA	intron (NR_137178, intron 1 of 4)	intron (NR_137178, intron 1 of 4)	13345	NR_029671	406911		NR_029671	ENSG00000207971	MIR125B1	MIRN125B1|mir-125b-1	microRNA 125b-1	ncRNA
*-167	chr11	85947548	86047801	+	0	NA	intron (NM_007166, intron 11 of 19)	AluSx|SINE|Alu	71410	NM_001206946	8301		NM_007166	ENSG00000073921	PICALM	CALM|CLTH|LAP	phosphatidylinositol binding clathrin assembly protein	protein-coding
*-423	chr20	45013748	45105201	+	0	NA	intron (NM_001352385, intron 11 of 11)	MER44C|DNA|TcMar-Tigger	41653	NM_001322799	3787		NM_002251	ENSG00000124134	KCNS1	Kv9.1	potassium voltage-gated channel modifier subfamily S member 1	protein-coding
*-169	chr11	86717798	86786451	+	0	NA	Intergenic	Intergenic	-38947	NM_001293180	11098		NM_007173	ENSG00000150687	PRSS23	SIG13|SPUVE|ZSIG13	serine protease 23	protein-coding
*-431	chr16	9094678	9130401	+	0	NA	intron (NM_014117, intron 3 of 3)	intron (NM_014117, intron 3 of 3)	20895	NM_014117	29035		NM_014117	ENSG00000182831	HAPSTR1	C16orf72|PRO0149|TAPR1	HUWE1 associated protein modifying stress responses	protein-coding
*-383	chr14	50984348	51025351	+	0	NA	intron (NM_015163, intron 5 of 9)	intron (NM_015163, intron 5 of 9)	-60366	NM_001163940	5836		NM_002863	ENSG00000100504	PYGL	GSD6	glycogen phosphorylase L	protein-coding
*-117	chr3	152272625	152467151	+	0	NA	intron (NM_001376837, intron 2 of 9)	L1PA7|LINE|L1	-28898	NR_132656	645843		NM_001123228	ENSG00000293032	TMEM14EP	TMEM14E	transmembrane protein 14E, pseudogene	pseudo
*-333	chr6	44654998	44669401	+	0	NA	Intergenic	MER20|DNA|hAT-Charlie	-110318	NR_134609	105375075		NR_134609		LOC105375075	-	uncharacterized LOC105375075	ncRNA
*-192	chr17	59356298	59407951	+	0	NA	intron (NM_001005404, intron 2 of 4)	intron (NM_001005404, intron 2 of 4)	16041	NR_039882	100616204		NR_039882	ENSG00000263857	MIR4729	-	microRNA 4729	ncRNA
*-119	chr3	160394798	160446837	+	0	NA	exon (NM_001288753, exon 13 of 24)	exon (NM_001288753, exon 13 of 24)	16072	NR_029525	406951		NR_029525	ENSG00000198987	MIR16-2	MIRN16-2|mir-16-2|mir-16-3	microRNA 16-2	ncRNA
*-321	chr9	125784148	125856501	+	0	NA	intron (NR_024122, intron 2 of 7)	intron (NR_024122, intron 2 of 7)	72141	NM_001134778	5090		NM_006195	ENSG00000167081	PBX3	-	PBX homeobox 3	protein-coding
*-36	chr2	237669498	237767901	+	0	NA	intron (NM_001137550, intron 4 of 23)	intron (NM_001137550, intron 4 of 23)	26494	NM_004735	9208		NM_004735	ENSG00000124831	LRRFIP1	FLAP-1|FLAP1|FLIIAP1|GCF-2|GCF2|HUFI-1|TRIP	LRR binding FLII interacting protein 1	protein-coding
*-258	chr1	51733148	51811451	+	0	NA	intron (NM_024586, intron 13 of 23)	AluSz|SINE|Alu	42449	NM_148907	114883		NM_024586	ENSG00000117859	OSBPL9	ORP-9|ORP9	oxysterol binding protein like 9	protein-coding
*-430	chr20	58235548	58296451	+	0	NA	intron (NR_003505, intron 4 of 16)	intron (NR_003505, intron 4 of 16)	-37346	NM_001304369	140731		NM_080674	ENSG00000124227	ANKRD60	C20orf86|bA196N14.3	ankyrin repeat domain 60	protein-coding
