PeakID (cmd=annotatePeaks.pl /home/abykov/neuroblastoma/temp_results/BEDs/CLB_SKN_A_chr.bed hg38)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
*-14	chr11	12498848	12525851	+	0	NA	intron (NM_018222, intron 8 of 12)	intron (NM_018222, intron 8 of 12)	134778	NM_018222	55742		NM_018222	ENSG00000197702	PARVA	CH-ILKBP|MXRA2	parvin alpha	protein-coding
*-213	chr7	18771698	18851751	+	0	NA	intron (NM_001321868, intron 17 of 25)	intron (NM_001321868, intron 17 of 25)	302454	NM_001204148	9734		NM_014707	ENSG00000048052	HDAC9	ARCND4|HD7|HD7b|HD9|HDAC|HDAC7|HDAC7B|HDAC9B|HDAC9FL|HDRP|MITR	histone deacetylase 9	protein-coding
*-274	chr1	95369198	95412851	+	0	NA	Intergenic	Intergenic	-38917	NR_146486	101928169		NR_146486		LINC01650	-	long intergenic non-protein coding RNA 1650	ncRNA
*-309	chr6	111532398	111578101	+	0	NA	TTS (NM_001164283)	TTS (NM_001164283)	12030	NM_001164283	10758		NM_147200	ENSG00000056972	TRAF3IP2	ACT1|C6orf2|C6orf4|C6orf5|C6orf6|CANDF8|CIKS|PSORS13	TRAF3 interacting protein 2	protein-coding
*-169	chr10	78725148	78778651	+	0	NA	Intergenic	Intergenic	315549	NR_015429	283050		NR_015429	ENSG00000224596	ZMIZ1-AS1	-	ZMIZ1 antisense RNA 1	ncRNA
*-72	chr5	113160648	113283201	+	0	NA	intron (NM_001085377, intron 3 of 18)	LTR8|LTR|ERV1	73014	NM_002387	4163		NM_002387	ENSG00000171444	MCC	MCC1	MCC regulator of WNT signaling pathway	protein-coding
*-211	chr7	8324398	8380851	+	0	NA	Intergenic	L1HS|LINE|L1	-80985	NM_152745	30010		NM_152745	ENSG00000122584	NXPH1	NPH1|Nbla00697	neurexophilin 1	protein-coding
*-240	chr14	77031698	77051451	+	0	NA	intron (NR_110554, intron 1 of 3)	intron (NR_110554, intron 1 of 3)	525	NR_110554	283575		NR_110554	ENSG00000246548	LINC02288	-	long intergenic non-protein coding RNA 2288	ncRNA
*-62	chr5	51887848	51934601	+	0	NA	Intergenic	MER110-int|LTR|ERV1	-96807	NR_147166	105378960		NR_147166	ENSG00000248789	LINC02118	-	long intergenic non-protein coding RNA 2118	ncRNA
*-127	chr3	12979648	13079101	+	0	NA	intron (NM_001134382, intron 1 of 13)	MIR|SINE|MIR	-42273	NM_001330619	9922		NM_014869	ENSG00000144711	IQSEC1	ARF-GEP100|ARFGEP100|BRAG2|GEP100|IDDSSBA	IQ motif and Sec7 domain ArfGEF 1	protein-coding
*-248	chr14	101805848	101900101	+	0	NA	intron (NM_001352916, intron 2 of 13)	intron (NM_001352916, intron 2 of 13)	43111	NM_001352912	5527		NM_002719	ENSG00000078304	PPP2R5C	B56G|B56gamma|PR61G	protein phosphatase 2 regulatory subunit B'gamma	protein-coding
*-81	chr5	154502898	154529451	+	0	NA	Intergenic	Intergenic	-37947	NM_004821	9421		NM_004821	ENSG00000113196	HAND1	Hxt|Thing1|bHLHa27|eHand	heart and neural crest derivatives expressed 1	protein-coding
*	chr4	17472448	17529851	+	0	NA	intron (NM_000320, intron 4 of 6)	MIRb|SINE|MIR	10941	NM_000320	5860		NM_000320	ENSG00000151552	QDPR	DHPR|HDHPR|PKU2|SDR33C1	quinoid dihydropteridine reductase	protein-coding
*-231	chr20	37294048	37414051	+	0	NA	intron (NM_198291, intron 1 of 13)	MIR|SINE|MIR	7909	NM_198291	6714		NM_005417	ENSG00000197122	SRC	ASV|SRC1|THC6|c-SRC|p60-Src	SRC proto-oncogene, non-receptor tyrosine kinase	protein-coding
*-142	chr3	128192798	128288201	+	0	NA	intron (NM_021937, intron 1 of 6)	intron (NM_021937, intron 1 of 6)	-86585	NM_001319086	8607		NM_003707	ENSG00000175792	RUVBL1	ECP-54|ECP54|INO80H|NMP 238|NMP238|PONTIN|Pontin52|RVB1|TIH1|TIP49|TIP49A	RuvB like AAA ATPase 1	protein-coding
*-191	chr9	127954248	127977532	+	0	NA	intron (NM_001035254, intron 1 of 10)	intron (NM_001035254, intron 1 of 10)	15099	NM_001035254	399665		NM_203305	ENSG00000167106	EEIG1	C9orf132|FAM102A|SYM-3A|bA203J24.7	estrogen-induced osteoclastogenesis regulator 1	protein-coding
*-34	chr17	17050748	17147201	+	0	NA	intron (NM_015134, intron 3 of 22)	intron (NM_015134, intron 3 of 22)	56517	NM_201274	23164		NM_015134	ENSG00000133030	MPRIP	M-RIP|MRIP|RHOIP3|RIP3|p116Rip	myosin phosphatase Rho interacting protein	protein-coding
*-94	chr2	29731798	29822151	+	0	NA	intron (NM_004304, intron 1 of 28)	intron (NM_004304, intron 1 of 28)	144612	NM_004304	238		NM_004304	ENSG00000171094	ALK	ALK1|CD246|NBLST3	ALK receptor tyrosine kinase	protein-coding
*-8	chr4	140857098	140908551	+	0	NA	intron (NM_020724, intron 6 of 6)	L1M4c|LINE|L1	-126439	NM_015130	23158		NM_015130	ENSG00000109436	TBC1D9	GRAMD9|MDR1	TBC1 domain family member 9	protein-coding
*-83	chr5	164496798	164540901	+	0	NA	intron (NR_105065, intron 2 of 3)	MLT1H|LTR|ERVL-MaLR	48570	NR_105065	102546299		NR_105065	ENSG00000241956	LOC102546299	-	uncharacterized LOC102546299	ncRNA
*-109	chr2	176537198	176591351	+	0	NA	Intergenic	Intergenic	36778	NR_031648	100302142		NR_031648	ENSG00000283203	MIR1246	MIRN1246|hsa-mir-1246	microRNA 1246	ncRNA
*-253	chr22	25603548	25729751	+	0	NA	intron (NM_001362778, intron 4 of 19)	intron (NM_001362778, intron 4 of 19)	-75539	NM_032608	84700		NM_032608	ENSG00000133454	MYO18B	KFS4	myosin XVIIIB	protein-coding
*-224	chr7	141143298	141231751	+	0	NA	intron (NM_001195278, intron 1 of 3)	L1PA4|LINE|L1	113460	NM_001195278	100507421		NM_001195278	ENSG00000261115	TMEM178B	-	transmembrane protein 178B	protein-coding
*-233	chr20	57648148	57706974	+	0	NA	intron (NM_199171, intron 1 of 3)	intron (NM_199171, intron 1 of 3)	13125	NM_001255976	56937		NM_020182	ENSG00000124225	PMEPA1	STAG1|TMEPAI	prostate transmembrane protein, androgen induced 1	protein-coding
*-67	chr5	80167048	80220801	+	0	NA	intron (NM_001174072, intron 2 of 11)	intron (NM_001174072, intron 2 of 11)	62124	NM_001174071	256987		NM_178276	ENSG00000164300	SERINC5	C5orf12|TPO1	serine incorporator 5	protein-coding
*-193	chr9	135116448	135169001	+	0	NA	Intergenic	L2a|LINE|L2	-38885	NR_046107	401557		NR_046107		LOC401557	-	uncharacterized LOC401557	ncRNA
*-85	chr5	174048602	174123101	+	0	NA	intron (NM_015980, intron 3 of 4)	MIRb|SINE|MIR	40145	NM_015980	51617		NM_015980	ENSG00000170091	NSG2	CALY3|HMP19	neuronal vesicle trafficking associated 2	protein-coding
*-77	chr5	141812348	141859551	+	0	NA	Intergenic	Intergenic	30253	NM_001278615	5097		NM_002587	ENSG00000156453	PCDH1	PC42|PCDH42	protocadherin 1	protein-coding
*-327	chr15	37204298	37247101	+	0	NA	Intergenic	L2a|LINE|L2	-124388	NM_001220482	4212		NM_002399	ENSG00000134138	MEIS2	CPCMR|HsT18361|MRG1	Meis homeobox 2	protein-coding
*-289	chr18	36015598	36064151	+	0	NA	intron (NM_018170, intron 1 of 6)	(AC)n|Simple_repeat|Simple_repeat	27685	NM_001303411	55197		NM_018170	ENSG00000141425	RPRD1A	HsT3101|P15RS	regulation of nuclear pre-mRNA domain containing 1A	protein-coding
*-245	chr14	95380448	95448951	+	0	NA	3' UTR (NM_152592, exon 18 of 18)	3' UTR (NM_152592, exon 18 of 18)	85115	NR_110127	101929080		NR_110127	ENSG00000258630	LINC02292	-	long intergenic non-protein coding RNA 2292	ncRNA
*-177	chr10	112198198	112217901	+	0	NA	Intergenic	Intergenic	-24284	NM_001244949	57678		NM_020918	ENSG00000119927	GPAM	GPAT|GPAT1	glycerol-3-phosphate acyltransferase, mitochondrial	protein-coding
*-251	chr22	19966751	20013751	+	0	NA	intron (NM_001670, intron 3 of 19)	intron (NM_001670, intron 3 of 19)	26498	NR_039918	100616414		NR_039918	ENSG00000284031	MIR4761	-	microRNA 4761	ncRNA
*-174	chr10	103589448	103860201	+	0	NA	intron (NM_014631, intron 4 of 13)	intron (NM_014631, intron 4 of 13)	-21955	NR_038940	100505839		NR_038940	ENSG00000280693	SH3PXD2A-AS1	-	SH3PXD2A antisense RNA 1	ncRNA
*-324	chr15	28885398	28956801	+	0	NA	promoter-TSS (NM_005503)	promoter-TSS (NM_005503)	-538	NM_005503	321		NM_005503	ENSG00000034053	APBA2	D15S1518E|HsT16821|LIN-10|MGC:14091|MINT2|X11-BETA|X11L	amyloid beta precursor protein binding family A member 2	protein-coding
*-269	chr1	60848098	60991601	+	0	NA	Intergenic	GA-rich|Low_complexity|Low_complexity	50927	NR_110617	100996570		NR_110617	ENSG00000237928	NFIA-AS2	-	NFIA antisense RNA 2	ncRNA
*-331	chr15	78587198	78711901	+	0	NA	Intergenic	MER58C|DNA|hAT-Charlie	-8339	NM_001256567	1143		NM_000750	ENSG00000117971	CHRNB4	-	cholinergic receptor nicotinic beta 4 subunit	protein-coding
*-246	chr14	96042322	96125751	+	0	NA	intron (NM_001282463, intron 2 of 2)	intron (NM_001282463, intron 2 of 2)	44674	NM_001282463	56967		NM_020215	ENSG00000227051	C14orf132	C14orf88	chromosome 14 open reading frame 132	protein-coding
*-24	chr11	75301198	75348830	+	0	NA	intron (NM_020251, intron 1 of 14)	intron (NM_020251, intron 1 of 14)	10172	NR_029891	442900		NR_029891	ENSG00000199090	MIR326	MIRN326|hsa-mir-326|mir-326	microRNA 326	ncRNA
*-113	chr2	209618948	209713951	+	0	NA	intron (NR_164699, intron 1 of 6)	intron (NR_164699, intron 1 of 6)	4953	NM_001375557	4133		NM_002374	ENSG00000078018	MAP2	MAP-2|MAP2A|MAP2B|MAP2C	microtubule associated protein 2	protein-coding
*-227	chr20	33495798	33654801	+	0	NA	intron (NM_005093, intron 2 of 11)	intron (NM_005093, intron 2 of 11)	12934	NM_001039709	9139		NM_005093	ENSG00000078699	CBFA2T2	EHT|MTGR1|ZMYND3|p85	CBFA2/RUNX1 partner transcriptional co-repressor 2	protein-coding
*-47	chr8	29731798	29820201	+	0	NA	intron (NR_125815, intron 1 of 3)	MSTB2|LTR|ERVL-MaLR	27690	NR_125814	101929450		NR_125814	ENSG00000253490	LINC02099	-	long intergenic non-protein coding RNA 2099	ncRNA
*-148	chr3	149874698	149910851	+	0	NA	intron (NR_165474, intron 4 of 10)	MER1B|DNA|hAT-Charlie	78121	NM_002628	5217		NM_002628	ENSG00000070087	PFN2	D3S1319E|PFL	profilin 2	protein-coding
*-333	chrX	15395048	15478751	+	0	NA	intron (NR_037859, intron 4 of 14)	intron (NR_037859, intron 4 of 14)	-52486	NM_004469	2277		NM_004469	ENSG00000165197	VEGFD	FIGF|VEGF-D	vascular endothelial growth factor D	protein-coding
*-140	chr3	116897698	116949301	+	0	NA	intron (NR_121607, intron 1 of 1)	L1PA7|LINE|L1	2068	NR_121607	100506724		NR_121607	ENSG00000242385	LINC00901	LSAMP-AS4|TCONS_00005428	long intergenic non-protein coding RNA 901	ncRNA
*-111	chr2	190431848	190487251	+	0	NA	intron (NM_001375987, intron 2 of 6)	intron (NM_001375987, intron 2 of 6)	-9944	NM_001375994	54842		NM_017694	ENSG00000151690	MFSD6	MMR2|hMMR2	major facilitator superfamily domain containing 6	protein-coding
*-89	chr2	3242598	3363301	+	0	NA	intron (NM_001330530, intron 3 of 9)	intron (NM_001330530, intron 3 of 9)	74869	NM_001330531	7260		NM_003310	ENSG00000032389	EIPR1	EIPR-1|TSSC1	EARP complex and GARP complex interacting protein 1	protein-coding
*-209	chr7	7609798	7625701	+	0	NA	Intergenic	Intergenic	-23003	NM_001302348	729852		NM_001302348	ENSG00000219545	UMAD1	RPA3-AS1|RPA3OS	UBAP1-MVB12-associated (UMA) domain containing 1	protein-coding
*-153	chr10	9283498	9302601	+	0	NA	intron (NR_120635, intron 2 of 4)	L1MA8|LINE|L1	2544	NR_120635	101928272		NR_120635		LOC101928272	-	uncharacterized LOC101928272	ncRNA
*-54	chr8	72208148	72248633	+	0	NA	intron (NR_033867, intron 9 of 19)	intron (NR_033867, intron 9 of 19)	23244	NR_033867	392232		NR_033867		LOC392232	-	transient receptor potential cation channel subfamily A member 1 pseudogene	pseudo
*-124	chr16	87337048	87372851	+	0	NA	intron (NM_024735, intron 2 of 8)	AluSx|SINE|Alu	28827	NM_024735	79791		NM_024735	ENSG00000103264	FBXO31	FBX14|FBXO14|Fbx31|MRT45|pp2386	F-box protein 31	protein-coding
*-131	chr3	27116898	27134201	+	0	NA	intron (NM_001304384, intron 13 of 16)	intron (NM_001304384, intron 13 of 16)	90974	NM_001031741	152110		NM_152534	ENSG00000163491	NEK10	CILD44	NIMA related kinase 10	protein-coding
*-242	chr14	89174448	89354201	+	0	NA	intron (NM_001085471, intron 4 of 6)	THE1B|LTR|ERVL-MaLR	152909	NM_005197	1112		NM_005197	ENSG00000053254	FOXN3	C14orf116|CHES1|PRO1635	forkhead box N3	protein-coding
*-291	chr18	37421098	37577401	+	0	NA	intron (NR_148519, intron 1 of 12)	intron (NR_148519, intron 1 of 12)	-13457	NM_001353761	56853		NM_020180	ENSG00000101489	CELF4	BRUNOL4|CELF-4	CUGBP Elav-like family member 4	protein-coding
*-313	chr6	156782730	156858151	+	0	NA	intron (NM_001371656, intron 2 of 20)	L2c|LINE|L2	-40709	NR_039676	100616154		NR_039676	ENSG00000271899	MIR4466	mir-4466	microRNA 4466	ncRNA
*-42	chr17	73282498	73361251	+	0	NA	Intergenic	Charlie15a|DNA|hAT-Charlie	-9873	NM_012121	23580		NM_012121	ENSG00000179604	CDC42EP4	BORG4|CEP4|KAIA1777	CDC42 effector protein 4	protein-coding
*-145	chr3	133235798	133332301	+	0	NA	intron (NM_001282865, intron 2 of 3)	intron (NM_001282865, intron 2 of 3)	-26928	NR_110812	101927455		NR_110812		TMEM108-AS1	-	TMEM108 antisense RNA 1	ncRNA
*-277	chr1	113197898	113235751	+	0	NA	Intergenic	Intergenic	-10571	NR_038846	643441		NR_038846		LOC643441	-	uncharacterized LOC643441	ncRNA
*-189	chr9	121674398	121788651	+	0	NA	intron (NM_032552, intron 3 of 16)	intron (NM_032552, intron 3 of 16)	-11261	NM_138709	153090		NM_032552	ENSG00000136848	DAB2IP	AF9Q34|AIP-1|AIP1|DIP1/2	DAB2 interacting protein	protein-coding
*-151	chr3	197158948	197192101	+	0	NA	intron (NM_001366214, intron 5 of 25)	intron (NM_001366214, intron 5 of 25)	8348	NM_001366222	1739		NM_004087	ENSG00000075711	DLG1	DLGH1|SAP-97|SAP97|hdlg	discs large MAGUK scaffold protein 1	protein-coding
*-133	chr3	51991198	52092151	+	0	NA	Intergenic	Intergenic	14897	NM_001947	1849		NM_001947	ENSG00000164086	DUSP7	MKPX|PYST2	dual specificity phosphatase 7	protein-coding
*-293	chr18	48918998	48946332	+	0	NA	intron (NM_005904, intron 3 of 3)	intron (NM_005904, intron 3 of 3)	10142	NM_001190823	4092		NM_005904	ENSG00000101665	SMAD7	CRCS3|MADH7|MADH8	SMAD family member 7	protein-coding
*-340	chr19	30230848	30286701	+	0	NA	intron (NM_001376111, intron 1 of 5)	AluSz|SINE|Alu	30264	NM_001376111	9745		NM_014717	ENSG00000198597	ZNF536	-	zinc finger protein 536	protein-coding
*-311	chr6	136070698	136128651	+	0	NA	intron (NM_018945, intron 2 of 12)	L1PA6|LINE|L1	-26847	NR_149042	644135		NR_149042	ENSG00000237596	PDE7B-AS1	-	PDE7B antisense RNA 1	ncRNA
*-306	chr6	79778298	79809245	+	0	NA	Intergenic	Intergenic	18475	NR_131786	89758		NM_001243308		LINC01621	C6orf7	long intergenic non-protein coding RNA 1621	ncRNA
*-173	chr10	88340748	88389801	+	0	NA	intron (NM_018363, intron 4 of 6)	intron (NM_018363, intron 4 of 6)	218044	NM_001031709	55328		NM_018363	ENSG00000184719	RNLS	C10orf59|RENALASE	renalase, FAD dependent amine oxidase	protein-coding
*-166	chr10	77826998	77923051	+	0	NA	intron (NM_004747, intron 1 of 31).2	MIR|SINE|MIR	51731	NM_004747	9231		NM_004747	ENSG00000151208	DLG5	LP-DLG|P-DLG5|PDLG|YUVOB	discs large MAGUK scaffold protein 5	protein-coding
*-79	chr5	150488991	150526951	+	0	NA	promoter-TSS (NM_001543)	promoter-TSS (NM_001543)	-160	NM_001543	3340		NM_001543	ENSG00000070614	NDST1	HSST|MRT46|NST1	N-deacetylase and N-sulfotransferase 1	protein-coding
*-69	chr5	107386748	107418351	+	0	NA	intron (NM_001962, intron 2 of 4)	intron (NM_001962, intron 2 of 4)	268388	NM_001962	1946		NM_001962	ENSG00000184349	EFNA5	AF1|EFL5|EPLG7|GLC1M|LERK7|RAGS	ephrin A5	protein-coding
*-323	chr13	109641398	109672651	+	0	NA	Intergenic	Intergenic	-71250	NR_103846	101409253		NR_103846	ENSG00000234854	LINC00676	-	long intergenic non-protein coding RNA 676	ncRNA
*-30	chr11	117486348	117539501	+	0	NA	intron (NM_020693, intron 8 of 32)	intron (NM_020693, intron 8 of 32)	185070	NM_014956	22897		NM_014956	ENSG00000110274	CEP164	NPHP15	centrosomal protein 164	protein-coding
*-102	chr2	111127298	111166501	+	0	NA	TTS (NM_001204113)	TTS (NM_001204113)	25985	NM_001204107	10018		NM_006538	ENSG00000153094	BCL2L11	BAM|BIM|BOD	BCL2 like 11	protein-coding
*-16	chr11	27644998	27677201	+	0	NA	intron (NM_001143811, intron 2 of 3)	intron (NM_001143811, intron 2 of 3)	-1450	NM_001143816	627		NM_001709	ENSG00000176697	BDNF	ANON2|BULN2	brain derived neurotrophic factor	protein-coding
*-197	chr12	19449798	19532001	+	0	NA	intron (NM_153207, intron 3 of 7)	L1MB5|LINE|L1	50300	NM_001267043	121536		NM_153207	ENSG00000139154	AEBP2	-	AE binding protein 2	protein-coding
*-90	chr2	11738348	11831951	+	0	NA	intron (NM_145693, intron 9 of 19)	intron (NM_145693, intron 9 of 19)	17705	NR_036071	100422862		NR_036071	ENSG00000265056	MIR548S	-	microRNA 548s	ncRNA
*-114	chr2	231267248	231321651	+	0	NA	intron (NR_148040, intron 19 of 21)	intron (NR_148040, intron 19 of 21)	-68259	NR_039937	100616317		NR_039937	ENSG00000263641	MIR4777	-	microRNA 4777	ncRNA
*-237	chr14	54806248	54896051	+	0	NA	intron (NM_001024024, intron 3 of 6)	L1PA5|LINE|L1	27044	NR_036194	100422984		NR_036194	ENSG00000265432	MIR4308	-	microRNA 4308	ncRNA
*-149	chr3	178057848	178089251	+	0	NA	Intergenic	Intergenic	256684	NR_110826	102724550		NR_110826	ENSG00000231574	LINC02015	KCCAT211	long intergenic non-protein coding RNA 2015	ncRNA
*-185	chr9	95120598	95140351	+	0	NA	intron (NM_001243743, intron 8 of 14)	intron (NM_001243743, intron 8 of 14)	-44380	NR_036109	100422842		NR_036109	ENSG00000207617	MIR3074	mir-3074	microRNA 3074	ncRNA
*-257	chr22	43221698	43320651	+	0	NA	intron (NM_173050, intron 4 of 21)	L2b|LINE|L2	-4768	NR_134582	101927447		NR_134582	ENSG00000203527	SCUBE1-AS1	-	SCUBE1 antisense RNA 1	ncRNA
*-171	chr10	86210298	86268001	+	0	NA	intron (NM_017551, intron 2 of 15)	MSTA-int|LTR|ERVL-MaLR	25639	NR_029907	442911		NR_029907	ENSG00000199104	MIR346	MIRN346|hsa-mir-346|miR-346|miRNA346	microRNA 346	ncRNA
*-260	chr1	7608298	7647251	+	0	NA	intron (NM_001349608, intron 5 of 21)	MIR|SINE|MIR	-41956	NM_001349621	23261		NM_015215	ENSG00000171735	CAMTA1	CANPMR|CECBA	calmodulin binding transcription activator 1	protein-coding
*-282	chr1	216497448	216635251	+	0	NA	intron (NM_001243518, intron 5 of 7)	intron (NM_001243518, intron 5 of 7)	-142901	NM_007123	7399		NM_007123	ENSG00000042781	USH2A	RP39|US2|USH2|dJ1111A8.1	usherin	protein-coding
*-321	chr13	51715398	51801161	+	0	NA	exon (NM_052950, exon 11 of 12)	exon (NM_052950, exon 11 of 12)	45456	NM_001377932	79758		NM_024705	ENSG00000102796	DHRS12	SDR40C1	dehydrogenase/reductase 12	protein-coding
*-334	chrX	18756848	18773001	+	0	NA	intron (NM_006240, intron 9 of 18)	intron (NM_006240, intron 9 of 18)	57279	NM_001377995	5475		NM_006240	ENSG00000086717	PPEF1	PP7|PPEF|PPP7C|PPP7CA	protein phosphatase with EF-hand domain 1	protein-coding
*-41	chr17	64149337	64255251	+	0	NA	intron (NM_001288732, intron 2 of 11)	intron (NM_001288732, intron 2 of 11)	28440	NM_001288733	55852		NM_018469	ENSG00000136478	TEX2	HT008|TMEM96	testis expressed 2	protein-coding
*-58	chr8	139408248	139436851	+	0	NA	Intergenic	ERVL-E-int|LTR|ERVL	280574	NM_001282534	51305		NM_001282534	ENSG00000169427	KCNK9	BIBARS|K2p9.1|KT3.2|TASK-3|TASK3|TASK32	potassium two pore domain channel subfamily K member 9	protein-coding
*-205	chr12	124477648	124564463	+	0	NA	intron (NM_001077261, intron 2 of 47)	MIRc|SINE|MIR	46557	NM_001206654	9612		NM_006312	ENSG00000196498	NCOR2	CTG26|N-CoR2|SMAP270|SMRT|SMRTE|SMRTE-tau|TNRC14|TRAC|TRAC-1|TRAC1	nuclear receptor corepressor 2	protein-coding
*-268	chr1	54243798	54399951	+	0	NA	intron (NM_145716, intron 4 of 17)	intron (NM_145716, intron 4 of 17)	84520	NM_018070	23648		NM_018070	ENSG00000157216	SSBP3	CSDP|SSDP|SSDP1	single stranded DNA binding protein 3	protein-coding
*-106	chr2	172886498	172908051	+	0	NA	intron (NM_001282900, intron 1 of 26)	L1MB8|LINE|L1	-30878	NM_001282901	11069		NM_007023	ENSG00000091428	RAPGEF4	CAMP-GEFII|CGEF2|EPAC|EPAC 2|EPAC2|Nbla00496	Rap guanine nucleotide exchange factor 4	protein-coding
*-10	chr4	173905348	173947901	+	0	NA	intron (NR_146487, intron 1 of 2)	intron (NR_146487, intron 1 of 2)	29351	NR_146487	101928478		NR_146487	ENSG00000250708	LINC02269	-	long intergenic non-protein coding RNA 2269	ncRNA
*-123	chr16	85512448	85652701	+	0	NA	Intergenic	Intergenic	-28835	NM_001134473	23199		NM_014615	ENSG00000131149	GSE1	CRHSP24|KIAA0182	Gse1 coiled-coil protein	protein-coding
*-162	chr10	70810548	70893251	+	0	NA	intron (NM_003901, intron 4 of 14)	MER58A|DNA|hAT-Charlie	35951	NM_003901	8879		NM_003901	ENSG00000166224	SGPL1	NPHS14|RENI|S1PL|SPL	sphingosine-1-phosphate lyase 1	protein-coding
*-180	chr9	14086398	14107601	+	0	NA	intron (NR_161382, intron 7 of 7)	intron (NR_161382, intron 7 of 7)	83803	NM_001282787	4781		NM_005596	ENSG00000147862	NFIB	CTF|HMGIC/NFIB|MACID|NF-I/B|NF1-B|NFI-B|NFI-RED|NFIB2|NFIB3	nuclear factor I B	protein-coding
*-302	chr6	40395898	40446851	+	0	NA	intron (NM_020737, intron 2 of 2)	MER4B|LTR|ERV1	43037	NR_160958	732253		NM_001359094	ENSG00000204091	TDRG1	LINC00532|lincRNA-NR_024015	testis development related 1	ncRNA
*-36	chr17	50902798	50979701	+	0	NA	Intergenic	Intergenic	-73271	NM_001243877	10140		NM_005749	ENSG00000141232	TOB1	APRO5|APRO6|PIG49|TOB|TROB|TROB1	transducer of ERBB2, 1	protein-coding
*-154	chr10	14647348	14675451	+	0	NA	intron (NM_001282695, intron 2 of 5)	MLT2B1|LTR|ERVL	-56998	NM_001282696	83641		NM_031453	ENSG00000065809	FAM107B	C10orf45|HITS	family with sequence similarity 107 member B	protein-coding
*-96	chr2	45668598	45713551	+	0	NA	intron (NM_005400, intron 1 of 14)	MamTip1|DNA|hAT-Tip100	39399	NM_005400	5581		NM_005400	ENSG00000171132	PRKCE	PKCE|nPKC-epsilon	protein kinase C epsilon	protein-coding
*-314	chr6	158376398	158417751	+	0	NA	intron (NM_001007466, intron 1 of 12)	intron (NM_001007466, intron 1 of 12)	74092	NR_145798	109623462		NR_145798		SNORA116	-	small nucleolar RNA, H/ACA box 116	snoRNA
*-188	chr9	120385048	120484401	+	0	NA	intron (NM_018249, intron 25 of 37)	L2-3_Crp|LINE|L2	145443	NM_018249	55755		NM_018249	ENSG00000136861	CDK5RAP2	C48|Cep215|MCPH3	CDK5 regulatory subunit associated protein 2	protein-coding
*-4	chr4	52982048	53028251	+	0	NA	intron (NM_152540, intron 5 of 8)	AluSz|SINE|Alu	142832	NM_023940	65997		NM_023940	ENSG00000128045	RASL11B	-	RAS like family 11 member B	protein-coding
*-43	chr17	77350298	77494101	+	0	NA	intron (NM_001293696, intron 1 of 9)	intron (NM_001293696, intron 1 of 9)	17122	NM_001293696	10801		NM_006640	ENSG00000184640	SEPTIN9	AF17q25|MSF|MSF1|NAPB|PNUTL4|SEPT9|SINT1|SeptD1	septin 9	protein-coding
*-286	chr1	242421948	242446481	+	0	NA	intron (NM_001320272, intron 2 of 10)	L2a|LINE|L2	15254	NM_001195812	200150		NM_152666	ENSG00000180287	PLD5	PLDC	phospholipase D family member 5	protein-coding
*-45	chr8	11408498	11473951	+	0	NA	intron (NM_053279, intron 2 of 2)	intron (NM_053279, intron 2 of 2)	25529	NM_053279	83648		NM_053279	ENSG00000154319	FAM167A	C8orf13|D8S265|DIORA-1	family with sequence similarity 167 member A	protein-coding
*-28	chr11	115190848	115223851	+	0	NA	intron (NM_001301045, intron 7 of 10)	intron (NM_001301045, intron 7 of 10)	-126228	NR_135108	105369509		NR_135108		LOC105369509	-	uncharacterized LOC105369509	ncRNA
*-121	chr16	72194398	72222501	+	0	NA	Intergenic	Intergenic	-35999	NM_001160213	83449		NM_031293	ENSG00000118557	PMFBP1	SPGF31|STAP	polyamine modulated factor 1 binding protein 1	protein-coding
*-200	chr12	79281298	79386851	+	0	NA	intron (NM_001291901, intron 7 of 9)	L2c|LINE|L2	-85183	NR_031700	100302136		NR_031700	ENSG00000221788	MIR1252	MIRN1252|hsa-mir-1252	microRNA 1252	ncRNA
*-134	chr3	57089648	57162398	+	0	NA	intron (NM_001318864, intron 2 of 13)	intron (NM_001318864, intron 2 of 13)	39330	NM_017563	54756		NM_017563	ENSG00000144730	IL17RD	HH18|IL-17RD|IL17RLM|SEF	interleukin 17 receptor D	protein-coding
*-217	chr7	70754698	70798101	+	0	NA	intron (NM_015570, intron 13 of 18)	intron (NM_015570, intron 13 of 18)	-355745	NM_022479	64409		NM_022479	ENSG00000185274	GALNT17	GALNACT17|GALNT16|GALNT20|GALNTL3|GalNAc-T17|GalNAc-T19|GalNAc-T5L|WBSCR17	polypeptide N-acetylgalactosaminyltransferase 17	protein-coding
*-208	chr7	5608498	5672901	+	0	NA	intron (NM_207111, intron 15 of 16)	L1MD|LINE|L1	39762	NR_046834	100874342		NR_046834	ENSG00000237738	RNF216-IT1	-	RNF216 intronic transcript 1	ncRNA
*-265	chr1	50250698	50311001	+	0	NA	Intergenic	L2b|LINE|L2	142594	NM_032110	63950		NM_032110	ENSG00000142700	DMRTA2	-	DMRT like family A2	protein-coding
*-294	chr18	49041148	49078601	+	0	NA	intron (NM_001374431, intron 16 of 16)	L1MC5|LINE|L1	-10106	NR_039898	100616420		NR_039898	ENSG00000263849	MIR4744	-	microRNA 4744	ncRNA
