PeakID (cmd=annotatePeaks.pl /home/abykov/neuroblastoma/temp_results/BEDs/CLB_SKN_AM_chr.bed hg38)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
*-158	chr15	85461598	85542601	+	0	NA	intron (NM_007200, intron 2 of 36)	MER5A|DNA|hAT-Charlie	-117851	NM_001270546	11214		NM_006738	ENSG00000170776	AKAP13	AKAP-13|AKAP-Lbc|ARHGEF13|BRX|HA-3|Ht31|LBC|PRKA13|PROTO-LB|PROTO-LBC|c-lbc|p47	A-kinase anchoring protein 13	protein-coding
*-81	chr3	119625398	119681601	+	0	NA	intron (NM_022135, intron 2 of 3)	AluY|SINE|Alu	7090	NM_001369919	64091		NM_022135	ENSG00000121577	POPDC2	POP2	popeye domain containing 2	protein-coding
*-46	chr5	168939448	169010001	+	0	NA	intron (NM_003062, intron 4 of 35)	intron (NM_003062, intron 4 of 35)	-38503	NR_109897	728095		NR_109897		SLIT3-AS1	-	SLIT3 antisense RNA 1	ncRNA
*-3	chr4	95143048	95554551	+	0	NA	intron (NM_003728, intron 1 of 15)	L1MA3|LINE|L1	200174	NM_003728	8633		NM_003728	ENSG00000182168	UNC5C	UNC5H3	unc-5 netrin receptor C	protein-coding
*-111	chr20	32419798	32529051	+	0	NA	intron (NM_080616, intron 2 of 7)	intron (NM_080616, intron 2 of 7)	9066	NM_080616	140688		NM_080616	ENSG00000197183	NOL4L	C20orf112|C20orf113	nucleolar protein 4 like	protein-coding
*-83	chr3	159760148	159930501	+	0	NA	intron (NM_001197109, intron 1 of 6)	L2c|LINE|L2	5463	NM_001197109	29970		NM_014575	ENSG00000151967	SCHIP1	SCHIP-1	schwannomin interacting protein 1	protein-coding
*-149	chr13	35464098	35572751	+	0	NA	intron (NM_001204197, intron 1 of 17)	MIRb|SINE|MIR	41615	NM_001204197	26960		NM_015678	ENSG00000172915	NBEA	BCL8B|LYST2|NEDEGE	neurobeachin	protein-coding
*-107	chr7	92667298	92844101	+	0	NA	intron (NM_001145306, intron 3 of 7)	intron (NM_001145306, intron 3 of 7)	78260	NM_001259	1021		NM_001259	ENSG00000105810	CDK6	MCPH12|PLSTIRE	cyclin dependent kinase 6	protein-coding
*-5	chr4	118864098	119053651	+	0	NA	intron (NM_133477, intron 1 of 4)	intron (NM_133477, intron 1 of 4)	70020	NM_133477	171024		NM_133477	ENSG00000172403	SYNPO2	SYISL	synaptopodin 2	protein-coding
*-10	chr4	174089648	174173851	+	0	NA	intron (NR_125896, intron 1 of 4)	intron (NR_125896, intron 1 of 4)	88649	NR_125896	101928509		NR_125896	ENSG00000248174	LINC02268	-	long intergenic non-protein coding RNA 2268	ncRNA
*-87	chr10	9208948	9263801	+	0	NA	intron (NR_120635, intron 4 of 4)	MIR3|SINE|MIR	-39239	NR_108039	100507163		NR_108039		LINC00709	-	long intergenic non-protein coding RNA 709	ncRNA
*-105	chr7	66099648	66168201	+	0	NA	intron (NR_024548, intron 4 of 6)	AluSx|SINE|Alu	19077	NM_014478	27297		NM_014478	ENSG00000241258	CRCP	C17|CGRP-RCP|CGRPRCP|POLR3I|POLR3J|RCP|RCP9|RPC9	CGRP receptor component	protein-coding
*-25	chr17	78860048	78937751	+	0	NA	intron (NM_001243541, intron 2 of 2)	AluSz|SINE|Alu	4302	NM_001243541	100653515		NM_001243540	ENSG00000178404	CEP295NL	DDC8|KIAA1731NL	CEP295 N-terminal like	protein-coding
*-96	chr9	94857548	95111201	+	0	NA	intron (NM_001193329, intron 10 of 15)	Charlie5|DNA|hAT-Charlie	-38820	NR_147614	101928119		NR_147613		LOC101928119	-	uncharacterized LOC101928119	ncRNA
*-131	chr1	94854498	95022051	+	0	NA	intron (NR_168377, intron 2 of 2)	L2a|LINE|L2	10246	NR_033998	729970		NR_033998		CNN3-DT	-	CNN3 divergent transcript	ncRNA
*-130	chr1	93595098	93709651	+	0	NA	intron (NM_001261409, intron 2 of 11)	intron (NM_001261409, intron 2 of 11)	28996	NM_001261409	8412		NM_003567	ENSG00000137936	BCAR3	AND-34|MIG7|NSP2|SH2D3B	BCAR3 adaptor protein, NSP family member	protein-coding
*-29	chr8	28882648	29008451	+	0	NA	intron (NM_001324393, intron 2 of 11)	intron (NM_001324393, intron 2 of 11)	54235	NM_001324382	79618		NM_024567	ENSG00000147421	HMBOX1	HNF1LA|HOT1|PBHNF|TAH1	homeobox containing 1	protein-coding
*-125	chr1	36342298	36391051	+	0	NA	intron (NM_001282547, intron 1 of 10)	intron (NM_001282547, intron 1 of 10)	19250	NM_001282547	83931		NM_032017	ENSG00000196182	STK40	SHIK|SgK495	serine/threonine kinase 40	protein-coding
*-141	chr6	53250098	53360901	+	0	NA	intron (NM_001242830, intron 1 of 6)	SVA_D|Retroposon|SVA	28506	NR_049866	100847075		NR_049866	ENSG00000264056	MIR5685	-	microRNA 5685	ncRNA
*-139	chr6	21969998	22008951	+	0	NA	intron (NR_015410, intron 6 of 11)	AluSz|SINE|Alu	157719	NR_034143	729177		NR_034143		NBAT1	CASC14|NBAT-1	neuroblastoma associated transcript 1	ncRNA
*-84	chr3	177095898	177175751	+	0	NA	intron (NM_001374329, intron 1 of 15)	L2a|LINE|L2	60654	NM_001321195	79718		NM_024665	ENSG00000177565	TBL1XR1	C21|DC42|IRA1|MRD41|TBLR1	TBL1X/Y related 1	protein-coding
*-12	chr11	11908698	12017651	+	0	NA	3' UTR (NM_013253, exon 8 of 8)	3' UTR (NM_013253, exon 8 of 8)	45465	NM_001018057	27122		NM_013253	ENSG00000050165	DKK3	CRRL|REIC|RIG	dickkopf WNT signaling pathway inhibitor 3	protein-coding
*-59	chr2	121349648	121537451	+	0	NA	intron (NM_001142274, intron 19 of 37)	intron (NM_001142274, intron 19 of 37)	-87331	NR_023343	100151683		NR_023343	ENSG00000264229	RNU4ATAC	LWS|MOPD1|RFMN|RNU4ATAC1|TALS|U4ATAC	RNA, U4atac small nuclear	snRNA
*-127	chr1	63964048	64199251	+	0	NA	intron (NM_001083592, intron 4 of 6)	AluJo|SINE|Alu	30556	NR_110666	101927034		NR_110665	ENSG00000223949	ROR1-AS1	-	ROR1 antisense RNA 1	ncRNA
*-140	chr6	43088748	43150251	+	0	NA	intron (NM_001270398, intron 1 of 19)	intron (NM_001270398, intron 1 of 19)	42685	NM_001270398	5754		NM_002821	ENSG00000112655	PTK7	CCK-4|CCK4	protein tyrosine kinase 7 (inactive)	protein-coding
*-2	chr4	76179798	76210898	+	0	NA	intron (NM_005506, intron 2 of 11)	AluJo|SINE|Alu	18476	NM_005506	950		NM_005506	ENSG00000138760	SCARB2	AMRF|CD36L2|EPM4|HLGP85|LGP85|LIMP-2|LIMPII|SR-BII	scavenger receptor class B member 2	protein-coding
*-66	chr2	216112295	216223401	+	0	NA	intron (NM_021141, intron 16 of 20)	intron (NM_021141, intron 16 of 20)	-49041	NR_037701	150967		NM_001199924	ENSG00000260804	LINC01963	PKI55	long intergenic non-protein coding RNA 1963	ncRNA
*-55	chr2	46981948	47097051	+	0	NA	intron (NM_020458, intron 15 of 19)	intron (NM_020458, intron 15 of 19)	-97644	NM_001171511	90411		NM_139279	ENSG00000180398	MCFD2	F5F8D|F5F8D2|LMAN1IP|SDNSF	multiple coagulation factor deficiency 2, ER cargo receptor complex subunit	protein-coding
*-76	chr16	87419598	87500101	+	0	NA	intron (NM_015144, intron 2 of 12)	intron (NM_015144, intron 2 of 12)	33175	NM_015144	23174		NM_015144	ENSG00000140948	ZCCHC14	BDG-29|BDG29	zinc finger CCHC-type containing 14	protein-coding
*-122	chr1	23548698	23605251	+	0	NA	Intergenic	Intergenic	-17473	NM_002167	3399		NM_002167	ENSG00000117318	ID3	HEIR-1|bHLHb25	inhibitor of DNA binding 3	protein-coding
*	chr4	41853498	41888001	+	0	NA	Intergenic	Intergenic	11862	NR_104143	101927074		NR_104143	ENSG00000245870	LINC00682	-	long intergenic non-protein coding RNA 682	ncRNA
*-124	chr1	27529198	27600493	+	0	NA	intron (NM_001029882, intron 1 of 6)	intron (NM_001029882, intron 1 of 6)	38649	NM_001029882	27245		NM_001029882	ENSG00000126705	AHDC1	MRD25|XIGIS	AT-hook DNA binding motif containing 1	protein-coding
*-35	chr5	51448748	51497551	+	0	NA	Intergenic	Intergenic	89701	NM_002202	3670		NM_002202	ENSG00000016082	ISL1	ISLET1|Isl-1	ISL LIM homeobox 1	protein-coding
*-39	chr5	78547848	78645824	+	0	NA	intron (NM_005779, intron 2 of 4)	intron (NM_005779, intron 2 of 4)	51936	NM_005779	10184		NM_005779	ENSG00000145685	LHFPL2	-	LHFPL tetraspan subfamily member 2	protein-coding
*-119	chr22	46057143	46120501	+	0	NA	intron (NR_110479, intron 1 of 4)	intron (NR_110479, intron 1 of 4)	-2222	NR_037413	100500828		NR_037413	ENSG00000266533	MIR3619	-	microRNA 3619	ncRNA
*-53	chr2	43390448	43453701	+	0	NA	intron (NR_144316, intron 28 of 36)	L3|LINE|CR1	173900	NM_001083953	63892		NM_022065	ENSG00000115970	THADA	ARMC13|GITA|Trm732	THADA armadillo repeat containing	protein-coding
*-8	chr4	140989148	141105501	+	0	NA	intron (NM_020724, intron 1 of 6)	intron (NM_020724, intron 1 of 6)	86145	NM_020724	57484		NM_020724	ENSG00000170153	RNF150	-	ring finger protein 150	protein-coding
*-42	chr5	141493098	141536851	+	0	NA	TTS (NM_001079812)	TTS (NM_001079812)	25733	NM_032407	56097		NM_018929	ENSG00000240764	PCDHGC5	PCDH-GAMMA-C5	protocadherin gamma subfamily C, 5	protein-coding
*-57	chr2	99600848	99683151	+	0	NA	intron (NM_001025108, intron 12 of 23)	L2c|LINE|L2	-151982	NM_001321460	51455		NM_016316	ENSG00000135945	REV1	AIBP80|REV1L	REV1 DNA directed polymerase	protein-coding
*-31	chr8	127798960	127930251	+	0	NA	intron (NR_003367, intron 1 of 8)	AluY|SINE|Alu	68643	NR_031609	100302185		NR_031609	ENSG00000283710	MIR1204	hsa-mir-1204	microRNA 1204	ncRNA
*-159	chr15	85559198	85653351	+	0	NA	intron (NM_007200, intron 8 of 36)	AluSx1|SINE|Alu	-13676	NM_001270546	11214		NM_006738	ENSG00000170776	AKAP13	AKAP-13|AKAP-Lbc|ARHGEF13|BRX|HA-3|Ht31|LBC|PRKA13|PROTO-LB|PROTO-LBC|c-lbc|p47	A-kinase anchoring protein 13	protein-coding
*-24	chr17	29624422	29769651	+	0	NA	intron (NM_033389, intron 3 of 14)	intron (NM_033389, intron 3 of 14)	64396	NM_001282131	85464		NM_033389	ENSG00000141298	SSH2	SSH-2|SSH-2L	slingshot protein phosphatase 2	protein-coding
*-126	chr1	50100648	50208901	+	0	NA	intron (NR_136725, intron 3 of 4)	(TG)n|Simple_repeat|Simple_repeat	44941	NM_001324213	1996		NM_021952	ENSG00000162374	ELAVL4	HUD|PNEM	ELAV like RNA binding protein 4	protein-coding
*-38	chr5	78474348	78542801	+	0	NA	intron (NM_005779, intron 4 of 4)	intron (NM_005779, intron 4 of 4)	140198	NM_005779	10184		NM_005779	ENSG00000145685	LHFPL2	-	LHFPL tetraspan subfamily member 2	protein-coding
*-58	chr2	101701074	101889751	+	0	NA	intron (NM_001384572, intron 2 of 29)	L1MC4|LINE|L1	97147	NM_001384551	9448		NM_004834	ENSG00000071054	MAP4K4	FLH21957|HEL-S-31|HGK|MEKKK4|NIK	mitogen-activated protein kinase kinase kinase kinase 4	protein-coding
*-70	chr16	15941148	16042701	+	0	NA	intron (NM_004996, intron 1 of 30)	MER1A|DNA|hAT-Charlie	42308	NM_004996	4363		NM_004996	ENSG00000103222	ABCC1	ABC29|ABCC|DFNA77|GS-X|MRP|MRP1	ATP binding cassette subfamily C member 1 (ABCC1 blood group)	protein-coding
*-60	chr2	134193148	134461101	+	0	NA	intron (NM_001371457, intron 5 of 16)	intron (NM_001371457, intron 5 of 16)	73052	NM_002410	4249		NM_002410	ENSG00000152127	MGAT5	GNT-V|GNT-VA|MGAT5A|glcNAc-T V	alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase	protein-coding
*-103	chr7	18614398	18709051	+	0	NA	intron (NM_001321878, intron 13 of 13)	intron (NM_001321878, intron 13 of 13)	152454	NM_001204148	9734		NM_014707	ENSG00000048052	HDAC9	ARCND4|HD7|HD7b|HD9|HDAC|HDAC7|HDAC7B|HDAC9B|HDAC9FL|HDRP|MITR	histone deacetylase 9	protein-coding
*-51	chr2	42095848	42149051	+	0	NA	Intergenic	AluSq2|SINE|Alu	-46904	NM_019063	27436		NM_019063	ENSG00000143924	EML4	C2orf2|ELP120|EMAP-4|EMAPL4|ROPP120	EMAP like 4	protein-coding
*-37	chr5	68230798	68285422	+	0	NA	intron (NM_181523, intron 2 of 15)	intron (NM_181523, intron 2 of 15)	-30409	NM_181524	5295		NM_181504	ENSG00000145675	PIK3R1	AGM7|GRB1|IMD36|p85|p85-ALPHA|p85alpha	phosphoinositide-3-kinase regulatory subunit 1	protein-coding
*-92	chr10	79072033	79323901	+	0	NA	intron (NM_020338, intron 4 of 24)	intron (NM_020338, intron 4 of 24)	129001	NM_020338	57178		NM_020338	ENSG00000108175	ZMIZ1	MIZ|NEDDFSA|RAI17|TRAFIP10|ZIMP10	zinc finger MIZ-type containing 1	protein-coding
*-33	chr5	14146700	14512951	+	0	NA	intron (NR_134469, intron 9 of 56)	intron (NR_134469, intron 9 of 56)	-134158	NR_145815	109623458		NR_145815		SNORD170	-	small nucleolar RNA, C/D box 170	snoRNA
*-148	chr6	156878148	157210601	+	0	NA	intron (NM_001363725, intron 2 of 17)	intron (NM_001363725, intron 2 of 17)	7947	NM_001363725	57492		NM_017519	ENSG00000049618	ARID1B	6A3-5|BAF250B|BRIGHT|CSS1|DAN15|ELD/OSA1|MRD12|OSA2|P250R|SMARCF2	AT-rich interaction domain 1B	protein-coding
