PeakID (cmd=annotatePeaks.pl /home/abykov/neuroblastoma/temp_results/BEDs/CLB_SKN_A_u_chr.bed hg38)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
*-72	chr2	148883748	149000951	+	0	NA	intron (NM_004522, intron 6 of 25)	intron (NM_004522, intron 6 of 25)	-5526	NR_111932	3800		NM_004522	ENSG00000168280	KIF5C	CDCBM2|KINN|NKHC|NKHC-2|NKHC2	kinesin family member 5C	protein-coding
*-178	chr16	87337048	87372851	+	0	NA	intron (NM_024735, intron 2 of 8)	AluSx|SINE|Alu	28827	NM_024735	79791		NM_024735	ENSG00000103264	FBXO31	FBX14|FBXO14|Fbx31|MRT45|pp2386	F-box protein 31	protein-coding
*-34	chr5	107492498	107573901	+	0	NA	intron (NM_001962, intron 1 of 4)	intron (NM_001962, intron 1 of 4)	137738	NM_001962	1946		NM_001962	ENSG00000184349	EFNA5	AF1|EFL5|EPLG7|GLC1M|LERK7|RAGS	ephrin A5	protein-coding
*-85	chr9	2466298	2526751	+	0	NA	Intergenic	L2a|LINE|L2	-125263	NM_001018056	7436		NM_003383	ENSG00000147852	VLDLR	CAMRQ1|CARMQ1|CHRMQ1|VLDL-R|VLDLRCH	very low density lipoprotein receptor	protein-coding
*-63	chr2	25228598	25338914	+	0	NA	intron (NR_135490, intron 3 of 23)	intron (NR_135490, intron 3 of 23)	-31441	NM_153759	1788		NM_022552	ENSG00000119772	DNMT3A	DNMT3A2|HESJAS|M.HsaIIIA|TBRS	DNA methyltransferase 3 alpha	protein-coding
*-170	chr15	37204298	37247101	+	0	NA	Intergenic	L2a|LINE|L2	-124388	NM_001220482	4212		NM_002399	ENSG00000134138	MEIS2	CPCMR|HsT18361|MRG1	Meis homeobox 2	protein-coding
*-187	chr19	5921848	5970401	+	0	NA	intron (NM_007320, intron 2 of 15)	intron (NM_007320, intron 2 of 15)	31870	NM_004058	828		NM_004058	ENSG00000105519	CAPS	CAPS1	calcyphosine	protein-coding
*-8	chr12	40722048	40770651	+	0	NA	intron (NM_001256063, intron 1 of 15)	intron (NM_001256063, intron 1 of 15)	53907	NM_001256063	1272		NM_001843	ENSG00000018236	CNTN1	CMYP12|F3|GP135|MYPCN	contactin 1	protein-coding
*-37	chr5	126785348	126848301	+	0	NA	intron (NR_134488, intron 6 of 11)	L1MC3|LINE|L1	39688	NM_001198557	4001		NM_005573	ENSG00000113368	LMNB1	ADLD|LMN|LMN2|LMNB|MCPH26	lamin B1	protein-coding
*-148	chr6	136484748	136523212	+	0	NA	intron (NM_003980, intron 1 of 17)	L1ME3Cz|LINE|L1	22233	NM_001198609	9053		NM_003980	ENSG00000135525	MAP7	E-MAP-115|EMAP115	microtubule associated protein 7	protein-coding
*-60	chr1	242421948	242446481	+	0	NA	intron (NM_001320272, intron 2 of 10)	L2a|LINE|L2	15254	NM_001195812	200150		NM_152666	ENSG00000180287	PLD5	PLDC	phospholipase D family member 5	protein-coding
*-140	chr6	21132898	21161101	+	0	NA	intron (NM_017774, intron 13 of 15)	intron (NM_017774, intron 13 of 15)	364893	NR_103790	100874531		NR_103790	ENSG00000280989	LINC00581	linc-MBOAT1-4	long intergenic non-protein coding RNA 581	ncRNA
*-105	chr3	51991198	52092151	+	0	NA	Intergenic	Intergenic	14897	NM_001947	1849		NM_001947	ENSG00000164086	DUSP7	MKPX|PYST2	dual specificity phosphatase 7	protein-coding
*-129	chrX	119653898	119689401	+	0	NA	intron (NM_145799, intron 2 of 10)	AluJb|SINE|Alu	21519	NM_145800	23157		NM_015129	ENSG00000125354	SEPTIN6	SEP2|SEPT2|SEPT6|Septin-6	septin 6	protein-coding
*-52	chr1	95369198	95412851	+	0	NA	Intergenic	Intergenic	-38917	NR_146486	101928169		NR_146486		LINC01650	-	long intergenic non-protein coding RNA 1650	ncRNA
*-122	chr7	50457448	50578701	+	0	NA	intron (NM_001242889, intron 4 of 12)	AluY|SINE|Alu	-13685	NR_033845	100129427		NR_033845	ENSG00000226122	DDC-AS1	-	DDC antisense RNA 1	ncRNA
*-111	chr3	133096198	133152901	+	0	NA	promoter-TSS (NM_001282865)	promoter-TSS (NM_001282865)	-272	NM_001282865	66000		NM_023943	ENSG00000144868	TMEM108	CT124|RTLN	transmembrane protein 108	protein-coding
*-166	chr10	88340748	88389801	+	0	NA	intron (NM_018363, intron 4 of 6)	intron (NM_018363, intron 4 of 6)	218044	NM_001031709	55328		NM_018363	ENSG00000184719	RNLS	C10orf59|RENALASE	renalase, FAD dependent amine oxidase	protein-coding
*-11	chr12	112794742	112903775	+	0	NA	intron (NM_001347955, intron 4 of 20)	intron (NM_001347955, intron 4 of 20)	57510	NM_014954	22895		NM_014954	ENSG00000089169	RPH3A	-	rabphilin 3A	protein-coding
*-19	chr11	68315607	68343851	+	0	NA	intron (NM_002335, intron 1 of 22)	intron (NM_002335, intron 1 of 22)	17138	NM_002335	4041		NM_002335	ENSG00000162337	LRP5	BMND1|EVR1|EVR4|HBM|LR3|LRP-5|LRP-7|LRP7|OPPG|OPS|OPTA1|PCLD4|VBCH2	LDL receptor related protein 5	protein-coding
*-9	chr12	78975698	79039351	+	0	NA	intron (NM_001291901, intron 2 of 9)	intron (NM_001291901, intron 2 of 9)	-38168	NM_001135806	6857		NM_005639	ENSG00000067715	SYT1	BAGOS|P65|SVP65|SYT	synaptotagmin 1	protein-coding
*-114	chr3	149874698	149910851	+	0	NA	intron (NR_165474, intron 4 of 10)	MER1B|DNA|hAT-Charlie	78121	NM_002628	5217		NM_002628	ENSG00000070087	PFN2	D3S1319E|PFL	profilin 2	protein-coding
*-191	chr19	31300798	31345451	+	0	NA	intron (NR_138034, intron 1 of 1)	L1ME4a|LINE|L1	26312	NR_138034	57616		NM_020856	ENSG00000121297	TSHZ3	TSH3|ZNF537	teashirt zinc finger homeobox 3	protein-coding
*-156	chr10	20858698	20998551	+	0	NA	intron (NM_001377324, intron 4 of 6)	L2|LINE|L2	-31313	NM_006393	10529		NM_006393	ENSG00000078114	NEBL	C10orf113|LASP2|LNEBL|bA165O3.1	nebulette	protein-coding
*-175	chr16	4367298	4412001	+	0	NA	intron (NM_001351729, intron 7 of 27)	intron (NM_001351729, intron 7 of 27)	17801	NM_138440	114990		NM_138440	ENSG00000168140	VASN	SLITL2	vasorin	protein-coding
*-138	chr22	40308748	40339051	+	0	NA	3' UTR (NM_001162501, exon 23 of 23)	3' UTR (NM_001162501, exon 23 of 23)	-22601	NM_001363840	158		NM_000026	ENSG00000239900	ADSL	AMPS|ASASE|ASL	adenylosuccinate lyase	protein-coding
*-30	chr5	36155041	36178401	+	0	NA	intron (NM_001243120, intron 3 of 7)	intron (NM_001243120, intron 3 of 7)	14610	NM_005983	6502		NM_005983	ENSG00000145604	SKP2	FBL1|FBXL1|FLB1|p45	S-phase kinase associated protein 2	protein-coding
*-4	chr4	87016998	87111501	+	0	NA	intron (NM_001313959, intron 3 of 19)	intron (NM_001313959, intron 3 of 19)	57248	NM_005935	4299		NM_005935	ENSG00000172493	AFF1	AF4|FEL|MLLT2|PBM1	ALF transcription elongation factor 1	protein-coding
*-67	chr2	50998398	51026901	+	0	NA	intron (NM_004801, intron 2 of 21)	intron (NM_004801, intron 2 of 21)	19483	NM_001330081	9378		NM_004801	ENSG00000179915	NRXN1	Hs.22998|PTHSL2|SCZD17	neurexin 1	protein-coding
*-130	chr14	54806248	54896051	+	0	NA	intron (NM_001024024, intron 3 of 6)	L1PA5|LINE|L1	27044	NR_036194	100422984		NR_036194	ENSG00000265432	MIR4308	-	microRNA 4308	ncRNA
*-78	chr2	235629698	235760951	+	0	NA	intron (NM_001037131, intron 1 of 17)	HAL1b|LINE|L1	-177403	NR_146582	27321		NR_146582		TNRC17	CAGL234	trinucleotide repeat containing 17	ncRNA
*-35	chr5	124696798	124750351	+	0	NA	intron (NM_001385621, intron 1 of 8)	AluSx1|SINE|Alu	23065	NM_020747	57507		NM_020747	ENSG00000168916	ZNF608	NY-REN-36	zinc finger protein 608	protein-coding
*-84	chr17	78703448	78742751	+	0	NA	intron (NM_017456, intron 1 of 12)	intron (NM_017456, intron 1 of 12)	631	NM_001365041	9267		NM_004762	ENSG00000108669	CYTH1	B2-1|CYTOHESIN-1|D17S811E|PSCD1|SEC7	cytohesin 1	protein-coding
*-106	chr3	84961980	85009201	+	0	NA	intron (NM_001381964, intron 2 of 10)	intron (NM_001381964, intron 2 of 10)	26601	NM_001375964	253559		NM_153184	ENSG00000175161	CADM2	IGSF4D|NECL3|Necl-3|SynCAM 2|SynCAM-2|synCAM2	cell adhesion molecule 2	protein-coding
*-93	chr18	37421098	37577401	+	0	NA	intron (NR_148519, intron 1 of 12)	intron (NR_148519, intron 1 of 12)	-13457	NM_001353756	56853		NM_020180	ENSG00000101489	CELF4	BRUNOL4|CELF-4	CUGBP Elav-like family member 4	protein-coding
*-12	chr11	8033398	8111951	+	0	NA	intron (NM_003320, intron 2 of 12)	MIRc|SINE|MIR	-8537	NM_177972	7275		NM_003320	ENSG00000166402	TUB	RDOB|rd5	TUB bipartite transcription factor	protein-coding
*-51	chr1	95306198	95327601	+	0	NA	intron (NR_135588, intron 1 of 1)	LFSINE_Vert|SINE|tRNA	1364	NR_135588	100996630		NR_135588	ENSG00000228504	LINC01760	-	long intergenic non-protein coding RNA 1760	ncRNA
*-112	chr3	139525748	139543351	+	0	NA	intron (NM_001130992, intron 2 of 2)	intron (NM_001130992, intron 2 of 2)	5087	NM_001365940	5947		NM_002899	ENSG00000114115	RBP1	CRABP-I|CRBP|CRBP1|CRBPI|RBPC|hCRBP1	retinol binding protein 1	protein-coding
*-36	chr5	125479698	125490259	+	0	NA	Intergenic	Intergenic	-8283	NR_109887	101927460		NR_109887	ENSG00000260192	LINC02240	-	long intergenic non-protein coding RNA 2240	ncRNA
*-121	chr7	30447448	30473901	+	0	NA	intron (NM_001354849, intron 1 of 12)	intron (NM_001354849, intron 1 of 12)	18110	NM_006092	10392		NM_006092	ENSG00000106100	NOD1	CARD4|CLR7.1|NLRC1|hNod1	nucleotide binding oligomerization domain containing 1	protein-coding
*-59	chr1	235543148	235646992	+	0	NA	intron (NM_004485, intron 1 of 2)	intron (NM_004485, intron 1 of 2)	54714	NM_001098722	2786		NM_004485	ENSG00000168243	GNG4	HG3C	G protein subunit gamma 4	protein-coding
*-43	chr5	173691998	173731551	+	0	NA	intron (NR_108027, intron 2 of 2)	(GATG)n|Simple_repeat|Simple_repeat	22315	NR_146727	105377736		NR_146727	ENSG00000253428	LINC01942	-	long intergenic non-protein coding RNA 1942	ncRNA
*-124	chr7	111094004	111120901	+	0	NA	intron (NM_001099658, intron 2 of 2)	intron (NM_001099658, intron 2 of 2)	16325	NM_018334	54674		NM_018334	ENSG00000173114	LRRN3	FIGLER5|NLRR-3|NLRR3	leucine rich repeat neuronal 3	protein-coding
*-133	chr14	92876998	93112917	+	0	NA	intron (NM_014216, intron 4 of 10).2	MLT1C|LTR|ERVL-MaLR	42017	NM_001363707	3705		NM_014216	ENSG00000100605	ITPK1	ITRPK1	inositol-tetrakisphosphate 1-kinase	protein-coding
*-28	chr11	126100848	126117951	+	0	NA	Intergenic	MIRb|SINE|MIR	-46107	NM_001243597	50937		NM_016952	ENSG00000064309	CDON	CDO|CDON1|HPE11|Ihog|ORCAM	cell adhesion associated, oncogene regulated	protein-coding
*-176	chr16	12750398	12795301	+	0	NA	intron (NM_018340, intron 2 of 3)	MER46C|DNA|TcMar-Tigger	31038	NM_018340	55313		NM_018340	ENSG00000103381	CPPED1	CSTP1	calcineurin like phosphoesterase domain containing 1	protein-coding
*-155	chr10	14647348	14675451	+	0	NA	intron (NM_001282695, intron 2 of 5)	MLT2B1|LTR|ERVL	-56998	NM_001282697	83641		NM_031453	ENSG00000065809	FAM107B	C10orf45|HITS	family with sequence similarity 107 member B	protein-coding
*-94	chr18	46401798	46439301	+	0	NA	intron (NM_001256758, intron 1 of 5)	intron (NM_001256758, intron 1 of 5)	86325	NR_046357	494470		NM_152470	ENSG00000141622	ARK2C	ARKL2|RNF111L2|RNF165|lncAMPC	arkadia (RNF111) C-terminal like ring finger ubiquitin ligase 2C	protein-coding
*-119	chr7	8324398	8380851	+	0	NA	Intergenic	L1HS|LINE|L1	-80985	NM_152745	30010		NM_152745	ENSG00000122584	NXPH1	NPH1|Nbla00697	neurexophilin 1	protein-coding
*-83	chr17	57739098	57764951	+	0	NA	Intergenic	Intergenic	-6725	NM_001282544	101927581		NM_001282544	ENSG00000166329	CCDC182	-	coiled-coil domain containing 182	protein-coding
*-65	chr2	29731798	29822151	+	0	NA	intron (NM_004304, intron 1 of 28)	intron (NM_004304, intron 1 of 28)	144612	NM_004304	238		NM_004304	ENSG00000171094	ALK	ALK1|CD246|NBLST3	ALK receptor tyrosine kinase	protein-coding
*-44	chr1	7450148	7595801	+	0	NA	intron (NM_001349608, intron 5 of 21)	AluSq|SINE|Alu	-133220	NR_146199	102725193		NR_146199	ENSG00000237728	CAMTA1-AS2	-	CAMTA1 antisense RNA 2	ncRNA
*-143	chr6	40395898	40446851	+	0	NA	intron (NM_020737, intron 2 of 2)	MER4B|LTR|ERV1	43037	NR_160959	732253		NM_001359094	ENSG00000204091	TDRG1	LINC00532|lincRNA-NR_024015	testis development related 1	ncRNA
*-165	chr10	88191798	88229101	+	0	NA	Intergenic	Intergenic	346824	NM_001304718	5728		NM_000314	ENSG00000171862	PTEN	10q23del|BZS|CWS1|DEC|GLM2|MHAM|MMAC1|PTEN1|PTENbeta|TEP1	phosphatase and tensin homolog	protein-coding
*-66	chr2	44743698	44779051	+	0	NA	intron (NM_024766, intron 9 of 10)	L2c|LINE|L2	177514	NR_147194	107985879		NR_147194	ENSG00000259439	LINC01833	K21.1|RP11-89	long intergenic non-protein coding RNA 1833	ncRNA
*-71	chr2	136056198	136086851	+	0	NA	Intergenic	Intergenic	44711	NM_001008540	7852		NM_003467	ENSG00000121966	CXCR4	CD184|D2S201E|FB22|HM89|HSY3RR|LAP-3|LAP3|LCR1|LESTR|NPY3R|NPYR|NPYRL|NPYY3R|WHIM|WHIMS|WHIMS1	C-X-C motif chemokine receptor 4	protein-coding
*-80	chr13	51715398	51801161	+	0	NA	exon (NM_052950, exon 11 of 12)	exon (NM_052950, exon 11 of 12)	45456	NM_001377932	79758		NM_024705	ENSG00000102796	DHRS12	SDR40C1	dehydrogenase/reductase 12	protein-coding
*-146	chr6	79778298	79809245	+	0	NA	Intergenic	Intergenic	18475	NR_131786	89758		NM_001243308		LINC01621	C6orf7	long intergenic non-protein coding RNA 1621	ncRNA
*-79	chr2	239179348	239348803	+	0	NA	intron (NM_006037, intron 2 of 26)	intron (NM_006037, intron 2 of 26)	-41387	NR_036229	100423043		NR_036229	ENSG00000265215	MIR4269	-	microRNA 4269	ncRNA
*-97	chr3	4496346	4663301	+	0	NA	intron (NM_002222, intron 4 of 57)	intron (NM_002222, intron 4 of 57)	86475	NM_001168272	3708		NM_002222	ENSG00000150995	ITPR1	ACV|CLA4|INSP3R1|IP3R|IP3R1|PPP1R94|SCA15|SCA16|SCA29	inositol 1,4,5-trisphosphate receptor type 1	protein-coding
*-58	chr1	228863198	228912301	+	0	NA	Intergenic	L1MC5a|LINE|L1	152270	NM_021205	58480		NM_021205	ENSG00000116574	RHOU	ARHU|CDC42L1|G28K|WRCH1|hG28K	ras homolog family member U	protein-coding
*-182	chr8	79144648	79202501	+	0	NA	Intergenic	L1P1|LINE|L1	-158614	NR_162137	113219456		NR_162137		MIR12123	-	microRNA 12123	ncRNA
*-47	chr1	22315448	22379801	+	0	NA	Intergenic	L1MC4|LINE|L1	81385	NR_039613	100616433		NR_039613	ENSG00000266564	MIR4418	-	microRNA 4418	ncRNA
*-6	chr4	140857098	140908551	+	0	NA	intron (NM_020724, intron 6 of 6)	L1M4c|LINE|L1	-126439	NM_015130	23158		NM_015130	ENSG00000109436	TBC1D9	GRAMD9|MDR1	TBC1 domain family member 9	protein-coding
*-173	chr15	78587198	78711901	+	0	NA	Intergenic	MER58C|DNA|hAT-Charlie	-8339	NM_000750	1143		NM_000750	ENSG00000117971	CHRNB4	-	cholinergic receptor nicotinic beta 4 subunit	protein-coding
*-136	chr14	104265898	104306051	+	0	NA	intron (NR_146612, intron 1 of 2)	intron (NR_146612, intron 1 of 2)	62390	NR_146612	145195		NR_146611	ENSG00000258913	LINC02691	C14orf144	long intergenic non-protein coding RNA 2691	ncRNA
*-21	chr11	69153698	69219801	+	0	NA	Intergenic	Intergenic	-15187	NR_104161	338694		NR_104161	ENSG00000261070	LOC338694	-	uncharacterized LOC338694	ncRNA
*-90	chr9	129382248	129434451	+	0	NA	Intergenic	L2a|LINE|L2	71426	NR_120685	100506119		NR_120685	ENSG00000233901	LINC01503	-	long intergenic non-protein coding RNA 1503	ncRNA
*-158	chr10	32269048	32335551	+	0	NA	intron (NR_168511, intron 2 of 13)	L1MD2|LINE|L1	44859	NR_168509	80314		NM_025209	ENSG00000120616	EPC1	Epl1	enhancer of polycomb homolog 1	protein-coding
*-189	chr19	30230848	30286701	+	0	NA	intron (NM_001376111, intron 1 of 5)	AluSz|SINE|Alu	30264	NM_001376111	9745		NM_014717	ENSG00000198597	ZNF536	-	zinc finger protein 536	protein-coding
*-29	chr11	133911798	133967251	+	0	NA	intron (NM_001277285, intron 3 of 19)	L2a|LINE|L2	17444	NM_001277285	22997		NM_014987	ENSG00000080854	IGSF9B	LINC00947|MIR4697HG	immunoglobulin superfamily member 9B	protein-coding
*-87	chr9	95120598	95140351	+	0	NA	intron (NM_001243743, intron 8 of 14)	intron (NM_001243743, intron 8 of 14)	-44380	NR_036109	100422842		NR_036109	ENSG00000207617	MIR3074	mir-3074	microRNA 3074	ncRNA
*-150	chr20	37200898	37252501	+	0	NA	intron (NM_001324299, intron 11 of 16)	intron (NM_001324299, intron 11 of 16)	35115	NM_021081	2691		NM_021081	ENSG00000118702	GHRH	GHRF|GRF|INN	growth hormone releasing hormone	protein-coding
*-3	chr4	52982048	53028251	+	0	NA	intron (NM_152540, intron 5 of 8)	AluSz|SINE|Alu	142832	NM_023940	65997		NM_023940	ENSG00000128045	RASL11B	-	RAS like family 11 member B	protein-coding
*-40	chr5	154502898	154529451	+	0	NA	Intergenic	Intergenic	-37947	NM_004821	9421		NM_004821	ENSG00000113196	HAND1	Hxt|Thing1|bHLHa27|eHand	heart and neural crest derivatives expressed 1	protein-coding
*-103	chr3	27116898	27134201	+	0	NA	intron (NM_001304384, intron 13 of 16)	intron (NM_001304384, intron 13 of 16)	90974	NM_001304384	152110		NM_152534	ENSG00000163491	NEK10	CILD44	NIMA related kinase 10	protein-coding
*-160	chr10	43037848	43131351	+	0	NA	intron (NM_020975, intron 1 of 19)	intron (NM_020975, intron 1 of 19)	7530	NM_020975	5979		NM_020630	ENSG00000165731	RET	CDHF12|CDHR16|HSCR1|MEN2A|MEN2B|MTC1|PTC|RET-ELE1	ret proto-oncogene	protein-coding
*-168	chr10	110759198	110804701	+	0	NA	intron (NM_001134363, intron 2 of 13)	intron (NM_001134363, intron 2 of 13)	88955	NR_026932	282997		NR_026932		PDCD4-AS1	-	PDCD4 antisense RNA 1	ncRNA
*-127	chr7	141143298	141231751	+	0	NA	intron (NM_001195278, intron 1 of 3)	L1PA4|LINE|L1	113460	NM_001195278	100507421		NM_001195278	ENSG00000261115	TMEM178B	-	transmembrane protein 178B	protein-coding
