PeakID (cmd=annotatePeaks.pl /home/abykov/neuroblastoma/temp_results/BEDs/CLB_SKN_M_u_chr.bed hg38)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
*-300	chr15	32769248	33035351	+	0	NA	intron (NM_001277313, intron 12 of 20)	intron (NM_001277313, intron 12 of 20)	165875	NM_001103184	342184		NM_198500	ENSG00000248905	FMN1	FMN|LD	formin 1	protein-coding
*-295	chr10	93432198	93479316	+	0	NA	intron (NM_133337, intron 2 of 52)	intron (NM_133337, intron 2 of 52)	26577	NM_013451	26509		NM_013451	ENSG00000138119	MYOF	FER1L3|HAE7	myoferlin	protein-coding
*-109	chr1	163031998	163057701	+	0	NA	Intergenic	AluSx|SINE|Alu	-23757	NM_001102445	5999		NM_005613	ENSG00000117152	RGS4	RGP4|SCZD9	regulator of G protein signaling 4	protein-coding
*-176	chr17	75673498	75708901	+	0	NA	intron (NM_001301855, intron 4 of 11)	intron (NM_001301855, intron 4 of 11)	23861	NM_013260	29115		NM_013260	ENSG00000161526	SAP30BP	HCNGP|HTRG|HTRP	SAP30 binding protein	protein-coding
*-278	chr20	35301598	35345051	+	0	NA	intron (NM_018244, intron 7 of 9)	intron (NM_018244, intron 7 of 9)	-30899	NM_178468	128876		NM_178468	ENSG00000125998	FAM83C	C20orf128|dJ614O4.7	family with sequence similarity 83 member C	protein-coding
*-43	chr12	116120398	116165351	+	0	NA	intron (NM_015335, intron 2 of 30)	intron (NM_015335, intron 2 of 30)	5780	NR_030351	693205		NR_030351	ENSG00000207967	MIR620	MIRN620|hsa-mir-620	microRNA 620	ncRNA
*-323	chr8	38999984	39046151	+	0	NA	intron (NR_027638, intron 8 of 20)	intron (NR_027638, intron 8 of 20)	-4382	NR_145988	109616979		NR_145736	ENSG00000207199	SNORD38D	-	small nucleolar RNA, C/D box 38D	snoRNA
*-277	chr20	31652098	31718505	+	0	NA	intron (NR_134257, intron 1 of 2)	AluY|SINE|Alu	-36206	NR_131907	103021294		NR_131907	ENSG00000281376	ABALON	INXS	apoptotic BCL2L1-antisense long non-coding RNA	ncRNA
*-201	chr3	15629948	15648901	+	0	NA	intron (NM_001281726, intron 2 of 2)	LTR37B|LTR|ERV1	37455	NM_001281725	686		NM_001281723	ENSG00000169814	BTD	-	biotinidase	protein-coding
*-56	chr11	66073351	66143451	+	0	NA	intron (NM_018026, intron 1 of 23)	MLT1B|LTR|ERVL-MaLR	38129	NM_018026	55690		NM_018026	ENSG00000175115	PACS1	MRD17|SHMS	phosphofurin acidic cluster sorting protein 1	protein-coding
*-37	chr12	96197380	96241451	+	0	NA	intron (NM_005230, intron 1 of 4)	intron (NM_005230, intron 1 of 4)	25040	NM_005230	2004		NM_005230	ENSG00000111145	ELK3	ERP|NET|SAP-2|SAP2	ETS transcription factor ELK3	protein-coding
*-251	chr14	101960748	102056851	+	0	NA	intron (NM_001376, intron 29 of 77)	AluSz|SINE|Alu	44226	NM_001376	1778		NM_001376	ENSG00000197102	DYNC1H1	CDCBM13|CMT2O|DHC1|DHC1a|DNCH1|DNCL|DNECL|DYHC|Dnchc1|HL-3|SMALED1|p22	dynein cytoplasmic 1 heavy chain 1	protein-coding
*-241	chrX	136155498	136215901	+	0	NA	intron (NM_001369330, intron 2 of 6)	intron (NM_001369330, intron 2 of 6)	-11090	NM_001159701	2273		NM_001449	ENSG00000022267	FHL1	FCMSU|FHL-1|FHL1A|FHL1B|FLH1A|KYOT|RBMX1A|RBMX1B|SLIM|SLIM-1|SLIM1|SLIMMER|XMPMA	four and a half LIM domains 1	protein-coding
*-174	chr17	59745198	59859951	+	0	NA	intron (NM_030938, intron 7 of 11)	intron (NM_030938, intron 7 of 11)	-38692	NR_029493	406991		NR_029493	ENSG00000284190	MIR21	MIRN21|hsa-mir-21|miR-21|miRNA21	microRNA 21	ncRNA
*-125	chr1	223698248	223795801	+	0	NA	exon (NM_001146068, exon 5 of 21)	exon (NM_001146068, exon 5 of 21)	34485	NM_001748	824		NM_001748	ENSG00000162909	CAPN2	CANP2|CANPL2|CANPml|mCANP	calpain 2	protein-coding
*-211	chr3	111845698	111975874	+	0	NA	intron (NM_145753, intron 2 of 16)	intron (NM_145753, intron 2 of 16)	50959	NM_001134439	90102		NM_145753	ENSG00000144824	PHLDB2	LL5b|LL5beta	pleckstrin homology like domain family B member 2	protein-coding
*-119	chr1	203504598	203560001	+	0	NA	Intergenic	LTR37B|LTR|ERV1	38146	NM_014359	26254		NM_014359	ENSG00000188770	OPTC	OPT	opticin	protein-coding
*-149	chr2	190883819	190963751	+	0	NA	intron (NM_014905, intron 9 of 17)	MIR3|SINE|MIR	42964	NM_001256310	2744		NM_014905	ENSG00000115419	GLS	AAD20|CASGID|DEE71|EIEE71|GAC|GAM|GDPAG|GLS1|KGA	glutaminase	protein-coding
*-159	chr13	45479048	45523351	+	0	NA	intron (NM_031431, intron 13 of 22)	L1MC3|LINE|L1	36260	NM_031431	83548		NM_031431	ENSG00000136152	COG3	CDG2BB|SEC34	component of oligomeric golgi complex 3	protein-coding
*-44	chr12	120224448	120262770	+	0	NA	intron (NM_001080855, intron 1 of 11)	AluJr|SINE|Alu	6554	NM_025157	5829		NM_002859	ENSG00000089159	PXN	-	paxillin	protein-coding
*-45	chr12	121921555	121965951	+	0	NA	intron (NM_144668, intron 7 of 21)	intron (NM_144668, intron 7 of 21)	25161	NM_001178003	144406		NM_144668	ENSG00000158023	CFAP251	CaM-IP4|SPGF33|WDR66	cilia and flagella associated protein 251	protein-coding
*-162	chr13	114096848	114129619	+	0	NA	intron (NM_001320821, intron 1 of 25).2	intron (NM_001320821, intron 1 of 25).2	19390	NM_007368	22821		NM_007368	ENSG00000185989	RASA3	GAP1IP4BP|GAPIII	RAS p21 protein activator 3	protein-coding
*-32	chr12	68613837	68658601	+	0	NA	intron (NM_001251917, intron 1 of 5)	intron (NM_001251917, intron 1 of 5)	-8844	NR_033335	100379132		NR_033335	ENSG00000206650	SNORA70G	U70G	small nucleolar RNA, H/ACA box 70G	snoRNA
*-41	chr12	106027998	106148601	+	0	NA	intron (NM_014840, intron 2 of 6)	intron (NM_014840, intron 2 of 6)	51734	NM_014840	9891		NM_014840	ENSG00000074590	NUAK1	ARK5	NUAK family kinase 1	protein-coding
*-175	chr17	64525148	64684501	+	0	NA	intron (NM_022739, intron 2 of 18)	AluSg|SINE|Alu	57483	NM_022739	64750		NM_022739	ENSG00000108854	SMURF2	-	SMAD specific E3 ubiquitin protein ligase 2	protein-coding
*-124	chr1	219293048	219342601	+	0	NA	Intergenic	Intergenic	142855	NM_001300772	127018		NM_138794	ENSG00000143353	LYPLAL1	Q96AV0	lysophospholipase like 1	protein-coding
*-198	chr18	28027148	28097351	+	0	NA	intron (NM_001792, intron 2 of 15)	intron (NM_001792, intron 2 of 15)	-25608	NM_001308176	1000		NM_001792	ENSG00000170558	CDH2	ACOGS|ADHD8|ARVD14|CD325|CDHN|CDw325|NCAD	cadherin 2	protein-coding
*-296	chr10	99941998	100006952	+	0	NA	intron (NM_015221, intron 1 of 16)	intron (NM_015221, intron 1 of 16)	35472	NM_015221	23268		NM_015221	ENSG00000107554	DNMBP	ARHGEF36|CTRCT48|TUBA	dynamin binding protein	protein-coding
*-197	chr18	9105628	9148201	+	0	NA	intron (NM_021074, intron 7 of 7)	intron (NM_021074, intron 7 of 7)	9806	NR_110771	101927275		NR_110771	ENSG00000266053	NDUFV2-AS1	-	NDUFV2 antisense RNA 1	ncRNA
*-294	chr10	90910748	90944298	+	0	NA	Intergenic	Intergenic	-6436	NM_014391	27063		NM_014391	ENSG00000148677	ANKRD1	ALRP|C-193|CARP|CVARP|MCARP|bA320F15.2	ankyrin repeat domain 1	protein-coding
*-139	chr2	70090451	70144501	+	0	NA	Intergenic	Intergenic	7840	NR_024444	100133985		NR_024444	ENSG00000231327	LINC01816	-	long intergenic non-protein coding RNA 1816	ncRNA
*-40	chr12	105307598	105385551	+	0	NA	intron (NM_001145199, intron 1 of 5)	intron (NM_001145199, intron 1 of 5)	15883	NM_001145199	387882		NM_207376	ENSG00000235162	C12orf75	AGD3|OCC-1|OCC1	chromosome 12 open reading frame 75	protein-coding
*-227	chr3	172753683	172817751	+	0	NA	intron (NM_001349096, intron 17 of 25)	intron (NM_001349096, intron 17 of 25)	34715	NM_001349099	1894		NM_018098	ENSG00000114346	ECT2	ARHGEF31	epithelial cell transforming 2	protein-coding
*-282	chr20	53734698	53754501	+	0	NA	Intergenic	AluSx3|SINE|Alu	131110	NR_002189	391257		NR_002189		SUMO1P1	PIC1L|UBL2|UBL6	SUMO1 pseudogene 1	pseudo
*-126	chr1	234956998	235022701	+	0	NA	Intergenic	L2b|LINE|L2	-25850	NR_125945	101927851		NR_125945	ENSG00000238005	LNCATV	-	lncRNA negative regulator of antiviral signaling	ncRNA
*-231	chr3	194552998	194599901	+	0	NA	Intergenic	Intergenic	-7819	NR_047574	100507297		NR_047573		TMEM44-AS1	-	TMEM44 antisense RNA 1	ncRNA
*-228	chr3	179580248	179618651	+	0	NA	intron (NM_177988, intron 2 of 5)	MIRb|SINE|MIR	5189	NM_020409	57129		NM_020409	ENSG00000136522	MRPL47	CGI-204|L47mt|MRP-L47|NCM1|uL29m	mitochondrial ribosomal protein L47	protein-coding
*-320	chr8	25178148	25216001	+	0	NA	intron (NM_024940, intron 1 of 51)	intron (NM_024940, intron 1 of 51)	12385	NM_024940	80005		NM_024940	ENSG00000147459	DOCK5	-	dedicator of cytokinesis 5	protein-coding
*-129	chr1	243697548	243750051	+	0	NA	intron (NM_005465, intron 2 of 13)	AluJo|SINE|Alu	119483	NM_181690	10000		NM_005465	ENSG00000117020	AKT3	MPPH|MPPH2|PKB-GAMMA|PKBG|PRKBG|RAC-PK-gamma|RAC-gamma|STK-2	AKT serine/threonine kinase 3	protein-coding
*-303	chr15	48395248	48510951	+	0	NA	intron (NM_000138, intron 44 of 65)	AluSq2|SINE|Alu	120902	NM_001948	1854		NM_001948	ENSG00000128951	DUT	BMFDMS|dUTPase	deoxyuridine triphosphatase	protein-coding
*-238	chr7	130352298	130375251	+	0	NA	intron (NM_001318223, intron 9 of 11)	intron (NM_001318223, intron 9 of 11)	3353	NR_133928	105375504		NR_133928		LOC105375504	-	uncharacterized LOC105375504	ncRNA
*-221	chr3	160394798	160446837	+	0	NA	exon (NM_001288753, exon 13 of 24)	exon (NM_001288753, exon 13 of 24)	16072	NR_029525	406951		NR_029525	ENSG00000198987	MIR16-2	MIRN16-2|mir-16-2|mir-16-3	microRNA 16-2	ncRNA
*-115	chr1	183019798	183165151	+	0	NA	intron (NM_002293, intron 1 of 27)	MER5A|DNA|hAT-Charlie	48796	NR_149048	110841583		NR_149048	ENSG00000224468	LAMC1-AS1	lnc-LAMC2-1:1	LAMC1 antisense RNA 1	ncRNA
*-136	chr2	68166548	68259001	+	0	NA	intron (NM_000945, intron 2 of 5)	Tigger1|DNA|TcMar-Tigger	39758	NM_000945	5534		NM_000945	ENSG00000221823	PPP3R1	CALNB1|CNB|CNB1	protein phosphatase 3 regulatory subunit B, alpha	protein-coding
*-47	chr11	8688437	8790051	+	0	NA	intron (NR_164814, intron 3 of 19)	intron (NR_164814, intron 3 of 19)	-29534	NR_120590	102724784		NR_120590		DENND2B-AS1	-	DENND2B antisense RNA 1	ncRNA
*-237	chr7	102834448	102897801	+	0	NA	intron (NM_001111038, intron 16 of 18)	intron (NM_001111038, intron 16 of 18)	-46876	NM_005824	10234		NM_005824	ENSG00000128606	LRRC17	P37NB	leucine rich repeat containing 17	protein-coding
*-155	chr2	233402298	233502201	+	0	NA	intron (NM_001377259, intron 16 of 27)	intron (NM_001377259, intron 16 of 27)	33037	NM_001377259	8527		NM_003648	ENSG00000077044	DGKD	DGK-delta|DGKdelta|dgkd-2	diacylglycerol kinase delta	protein-coding
*-68	chr11	122155307	122200061	+	0	NA	intron (NR_024430, intron 2 of 3)	intron (NR_024430, intron 2 of 3)	2948	NR_137183	399959		NR_024430	ENSG00000255248	MIR100HG	AGD1|linc-NeD125|lncRNA-N2	mir-100-let-7a-2-mir-125b-1 cluster host gene	ncRNA
*-145	chr2	177215724	177276301	+	0	NA	intron (NM_001313902, intron 1 of 3)	MIRc|SINE|MIR	9998	NR_036075	100422824		NR_036075	ENSG00000265396	MIR3128	mir-3128	microRNA 3128	ncRNA
*-330	chr8	97879098	97953601	+	0	NA	intron (NM_030583, intron 2 of 18)	AluSz6|SINE|Alu	47285	NM_002380	4147		NM_002380	ENSG00000132561	MATN2	-	matrilin 2	protein-coding
*-263	chr6	37101148	37145951	+	0	NA	Intergenic	MER39|LTR|ERV1	-46603	NM_002648	5292		NM_002648	ENSG00000137193	PIM1	PIM	Pim-1 proto-oncogene, serine/threonine kinase	protein-coding
*-33	chr12	69489748	69581721	+	0	NA	intron (NM_001278355, intron 4 of 9)	L1MEd|LINE|L1	20294	NR_145803	109623461		NR_145803		SNORA113	-	small nucleolar RNA, H/ACA box 113	snoRNA
*-299	chr10	126194648	126282651	+	0	NA	intron (NM_021641, intron 3 of 18)	intron (NM_021641, intron 3 of 18)	149828	NM_001288973	8038		NM_003474	ENSG00000148848	ADAM12	ADAM12-OT1|CAR10|MCMP|MCMPMltna|MLTN|MLTNA	ADAM metallopeptidase domain 12	protein-coding
*-313	chr16	9094678	9130401	+	0	NA	intron (NM_014117, intron 3 of 3)	intron (NM_014117, intron 3 of 3)	20895	NM_014117	29035		NM_014117	ENSG00000182831	HAPSTR1	C16orf72|PRO0149|TAPR1	HUWE1 associated protein modifying stress responses	protein-coding
*-134	chr2	63844878	63896501	+	0	NA	intron (NM_001377528, intron 4 of 10)	intron (NM_001377528, intron 4 of 10)	28793	NM_006759	7360		NM_006759	ENSG00000169764	UGP2	DEE83|EIEE83|SVUGP2|UDPG|UDPGP|UDPGP2|UGP1|UGPP1|UGPP2|pHC379	UDP-glucose pyrophosphorylase 2	protein-coding
*-105	chr1	155452498	155476151	+	0	NA	intron (NM_018489, intron 3 of 27)	intron (NM_018489, intron 3 of 27)	31144	NR_034180	645682		NR_034180	ENSG00000237872	POU5F1P4	OCT3|OCT4|OTF-3|OTF3|Oct-3|Oct-4|Oct4-pg4|POU5F1|POU5FLC1	POU class 5 homeobox 1 pseudogene 4	pseudo
*-183	chr9	36089348	36114801	+	0	NA	intron (NM_021111, intron 11 of 20)	intron (NM_021111, intron 11 of 20)	-34462	NR_104637	152007		NM_022343	ENSG00000122694	GLIPR2	C9orf19|GAPR-1|GAPR1	GLI pathogenesis related 2	protein-coding
*-79	chr5	122140948	122184251	+	0	NA	intron (NM_001195535, intron 1 of 2)	intron (NM_001195535, intron 1 of 2)	2423	NM_001195535	100505841		NM_001195535	ENSG00000250803	ZNF475	-	zinc finger protein 475	protein-coding
*-191	chr9	122988148	123104301	+	0	NA	intron (NM_012197, intron 13 of 25)	intron (NM_012197, intron 13 of 25)	12557	NM_005294	2844		NM_005294	ENSG00000188394	GPR21	-	G protein-coupled receptor 21	protein-coding
*-255	chr22	31583548	31662751	+	0	NA	intron (NM_001326411, intron 3 of 7)	intron (NM_001326411, intron 3 of 7)	-1618	NR_106959	102465666		NR_106959	ENSG00000284082	MIR7109	hsa-mir-7109	microRNA 7109	ncRNA
*-245	chr14	51506648	51556701	+	0	NA	intron (NM_001042481, intron 1 of 14)	MER63C|DNA|hAT-Blackjack	42546	NM_001042481	122786		NM_152330	ENSG00000139926	FRMD6	C14orf31|EX1|Willin|c14_5320	FERM domain containing 6	protein-coding
*-163	chr17	667898	706401	+	0	NA	intron (NM_001128159, intron 4 of 21).2	AluSx1|SINE|Alu	27690	NM_001366254	55275		NM_018289	ENSG00000141252	VPS53	HCCS1|PCH2E|hVps53L|pp13624	VPS53 subunit of GARP complex	protein-coding
*-236	chr7	101092898	101141301	+	0	NA	Intergenic	Intergenic	-10005	NM_000602	5054		NM_000602	ENSG00000106366	SERPINE1	PAI|PAI-1|PAI1|PLANH1	serpin family E member 1	protein-coding
*-215	chr3	128758648	128806351	+	0	NA	intron (NM_004637, intron 1 of 5)	intron (NM_004637, intron 1 of 5)	56316	NM_004637	7879		NM_004637	ENSG00000075785	RAB7A	CMT2B|PRO2706|RAB7	RAB7A, member RAS oncogene family	protein-coding
*-121	chr1	204403398	204440351	+	0	NA	TTS (NM_001377334)	TTS (NM_001377334)	-10057	NM_032833	84919		NM_032833	ENSG00000158615	PPP1R15B	CREP|MSSGM2	protein phosphatase 1 regulatory subunit 15B	protein-coding
*-138	chr2	69754598	69803851	+	0	NA	intron (NM_001365496, intron 2 of 13)	intron (NM_001365496, intron 2 of 13)	19774	NR_164155	107985770		NR_164153	ENSG00000288869	SMANTIS	ANXA4-AS|n342419	SMARCA4 interacting SWI/SNF chromatin remodeling complex scaffold lncRNA	ncRNA
*-137	chr2	69016142	69255351	+	0	NA	intron (NM_053034, intron 12 of 14)	L1M5|LINE|L1	32064	NR_036073	100423030		NR_036073	ENSG00000266649	MIR3126	mir-3126	microRNA 3126	ncRNA
*-2	chr4	41119998	41209951	+	0	NA	intron (NM_173075, intron 1 of 16)	intron (NM_173075, intron 1 of 16)	49568	NM_173075	323		NM_004307	ENSG00000163697	APBB2	FE65L|FE65L1	amyloid beta precursor protein binding family B member 2	protein-coding
*-72	chr5	52994198	53046301	+	0	NA	intron (NR_073107, intron 1 of 28)	intron (NR_073107, intron 1 of 28)	30897	NR_073106	3673		NM_002203	ENSG00000164171	ITGA2	BR|CD49B|GPIa|HPA-5|VLA-2|VLAA2	integrin subunit alpha 2	protein-coding
*-229	chr3	188185398	188301151	+	0	NA	intron (NR_164692, intron 2 of 9)	intron (NR_164692, intron 2 of 9)	30378	NM_005578	4026		NM_005578	ENSG00000145012	LPP	-	LIM domain containing preferred translocation partner in lipoma	protein-coding
*-291	chr10	77149648	77204701	+	0	NA	intron (NM_001322836, intron 5 of 27)	intron (NM_001322836, intron 5 of 27)	36343	NR_120654	101929310		NR_120654	ENSG00000225497	KCNMA1-AS2	-	KCNMA1 antisense RNA 2	ncRNA
*-97	chr1	67673148	67772501	+	0	NA	intron (NM_018841, intron 2 of 3)	intron (NM_018841, intron 2 of 3)	37623	NM_001199742	1647		NM_001924	ENSG00000116717	GADD45A	DDIT1|GADD45	growth arrest and DNA damage inducible alpha	protein-coding
*-205	chr3	71487848	71554851	+	0	NA	intron (NM_001012505, intron 2 of 6)	AluSx1|SINE|Alu	20740	NR_031697	100302112		NR_031697	ENSG00000221264	MIR1284	MIRN1284|hsa-mir-1284|mir-1284	microRNA 1284	ncRNA
*-234	chr7	23426598	23479601	+	0	NA	intron (NM_006547, intron 2 of 14)	AluSc|SINE|Alu	17392	NM_006547	10643		NM_006547	ENSG00000136231	IGF2BP3	CT98|IMP-3|IMP3|KOC|KOC1|VICKZ3	insulin like growth factor 2 mRNA binding protein 3	protein-coding
*-66	chr11	118906948	118930051	+	0	NA	intron (NM_001378213, intron 2 of 9)	intron (NM_001378213, intron 2 of 9)	7427	NR_165445	283149		NM_182557	ENSG00000186174	BCL9L	B9L|BCL9-2|DLNB11	BCL9 like	protein-coding
*-283	chr20	53770648	53846251	+	0	NA	Intergenic	Intergenic	67260	NR_002189	391257		NR_002189		SUMO1P1	PIC1L|UBL2|UBL6	SUMO1 pseudogene 1	pseudo
*-199	chr18	57727848	57849851	+	0	NA	intron (NM_001374385, intron 1 of 27)	intron (NM_001374385, intron 1 of 27)	14466	NM_005603	5205		NM_005603	ENSG00000081923	ATP8B1	ATPIC|BRIC|FIC1|ICP1|PFIC|PFIC1	ATPase phospholipid transporting 8B1	protein-coding
*-87	chr5	157495448	157572822	+	0	NA	intron (NM_033274, intron 4 of 22)	MIRc|SINE|MIR	41640	NM_033274	8728		NM_023038	ENSG00000135074	ADAM19	FKSG34|MADDAM|MLTNB	ADAM metallopeptidase domain 19	protein-coding
*-196	chr9	130823248	130870501	+	0	NA	intron (NM_005157, intron 1 of 10)	intron (NM_005157, intron 1 of 10)	11620	NM_005157	25		NM_005157	ENSG00000097007	ABL1	ABL|BCR-ABL|CHDSKM|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	ABL proto-oncogene 1, non-receptor tyrosine kinase	protein-coding
*-298	chr10	114603998	114719451	+	0	NA	intron (NM_001322884, intron 1 of 20)	intron (NM_001322884, intron 1 of 20)	-3449	NM_002313	3983		NM_002313	ENSG00000099204	ABLIM1	ABLIM|LIMAB1|LIMATIN|abLIM-1	actin binding LIM protein 1	protein-coding
*-90	chr1	8646698	8719401	+	0	NA	intron (NM_001042681, intron 1 of 22)	(A)n|Simple_repeat|Simple_repeat	134591	NM_012102	473		NM_012102	ENSG00000142599	RERE	ARG|ARP|ATN1L|DNB1|NEDBEH	arginine-glutamic acid dipeptide repeats	protein-coding
*-297	chr10	112953248	113100451	+	0	NA	intron (NM_001363501, intron 4 of 13)	intron (NM_001363501, intron 4 of 13)	-18506	NR_132769	106635520		NR_132769		SNORA87	-	small nucleolar RNA, H/ACA box 87	snoRNA
*-275	chr6	152704948	152760451	+	0	NA	Intergenic	Intergenic	-18098	NM_003381	7432		NM_003381	ENSG00000146469	VIP	PHM27	vasoactive intestinal peptide	protein-coding
*-302	chr15	44028098	44164751	+	0	NA	intron (NM_001286491, intron 1 of 14)	AluSz|SINE|Alu	98022	NM_001286490	84978		NM_032892	ENSG00000171877	FRMD5	NEDEMA	FERM domain containing 5	protein-coding
*-224	chr3	171343348	171428051	+	0	NA	intron (NM_001161560, intron 1 of 31)	intron (NM_001161560, intron 1 of 31)	74706	NM_001161566	23043		NM_015028	ENSG00000154310	TNIK	MRT54	TRAF2 and NCK interacting kinase	protein-coding
*-80	chr5	131504498	131547351	+	0	NA	intron (NM_016340, intron 6 of 27)	MIR|SINE|MIR	109305	NM_016340	51735		NM_016340	ENSG00000158987	RAPGEF6	KIA001LB|PDZ-GEF2|PDZGEF2|RA-GEF-2|RAGEF2	Rap guanine nucleotide exchange factor 6	protein-coding
*-262	chr6	34629398	34684901	+	0	NA	intron (NM_022758, intron 1 of 3)	intron (NM_022758, intron 1 of 3)	-39005	NR_134625	101929243		NR_134625	ENSG00000272288	ILRUN-AS1	-	ILRUN antisense RNA 1	ncRNA
*-5	chr4	76943148	77072971	+	0	NA	intron (NM_018243, intron 3 of 9)	intron (NM_018243, intron 3 of 9)	58307	NM_018243	55752		NM_018243	ENSG00000138758	SEPTIN11	SEPT11|Septin-11	septin 11	protein-coding
*-81	chr5	140280248	140343602	+	0	NA	Intergenic	Intergenic	-8824	NM_002622	5201		NM_002622	ENSG00000113068	PFDN1	PDF|PFD1	prefoldin subunit 1	protein-coding
*-73	chr5	61350848	61505451	+	0	NA	intron (NM_020928, intron 1 of 13)	intron (NM_020928, intron 1 of 13)	95891	NM_020928	57688		NM_020928	ENSG00000130449	ZSWIM6	AFND|NEDMAGA	zinc finger SWIM-type containing 6	protein-coding
*-312	chr15	101640398	101717901	+	0	NA	intron (NM_152334, intron 12 of 18)	L1MDa|LINE|L1	-26758	NM_001307960	80213		NM_025141	ENSG00000184277	TM2D3	BLP2	TM2 domain containing 3	protein-coding
*-127	chr1	235900698	235929701	+	0	NA	Intergenic	AluSz|SINE|Alu	-31486	NR_102436	1130		NM_000081	ENSG00000143669	LYST	CHS|CHS1|Mauve	lysosomal trafficking regulator	protein-coding
*-84	chr5	151658898	151703801	+	0	NA	intron (NR_109873, intron 3 of 4)	MIR3|SINE|MIR	4404	NR_109873	101927096		NR_109873	ENSG00000249035	CLMAT3	CTB-113P19.1|SPARC-AS1	colorectal liver metastasis associated transcript 3	ncRNA
*-85	chr5	154193733	154320951	+	0	NA	intron (NM_198321, intron 1 of 11)	intron (NM_198321, intron 1 of 11)	66609	NM_198321	55568		NM_017540	ENSG00000164574	GALNT10	GALNACT10|PPGALNACT10|PPGANTASE10	polypeptide N-acetylgalactosaminyltransferase 10	protein-coding
*-131	chr2	36338248	36573801	+	0	NA	intron (NM_016441, intron 4 of 16)	intron (NM_016441, intron 4 of 16)	100246	NM_016441	51232		NM_016441	ENSG00000150938	CRIM1	CRIM-1|S52	cysteine rich transmembrane BMP regulator 1	protein-coding
*-226	chr3	172243398	172368751	+	0	NA	intron (NM_022763, intron 9 of 25)	intron (NM_022763, intron 9 of 25)	142382	NM_004122	2693		NM_004122	ENSG00000121853	GHSR	GHDP|GHS-R1a|GHSR-1a	growth hormone secretagogue receptor	protein-coding
*-182	chr9	35507298	35534101	+	0	NA	intron (NM_001330740, intron 1 of 10)	intron (NM_001330740, intron 1 of 10)	-17933	NM_001135999	9853		NM_014806	ENSG00000198853	RUSC2	Iporin|MRT61	RUN and SH3 domain containing 2	protein-coding
*-128	chr1	243202848	243295901	+	0	NA	intron (NM_001042405, intron 1 of 18).2	AluJb|SINE|Alu	5907	NM_014812	9859		NM_014812	ENSG00000143702	CEP170	FAM68A|KAB|KIAA0470	centrosomal protein 170	protein-coding
*-39	chr12	104279848	104337401	+	0	NA	intron (NM_001261446, intron 2 of 13)	Charlie1b|DNA|hAT-Charlie	4885	NM_001008394	493861		NM_001008394	ENSG00000255150	EID3	NS4EB|NSE4B|NSMCE4B	EP300 interacting inhibitor of differentiation 3	protein-coding
*-95	chr1	51733148	51811451	+	0	NA	intron (NM_024586, intron 13 of 23)	AluSz|SINE|Alu	42449	NM_148905	114883		NM_024586	ENSG00000117859	OSBPL9	ORP-9|ORP9	oxysterol binding protein like 9	protein-coding
*-94	chr1	51619872	51674051	+	0	NA	intron (NM_148906, intron 1 of 22)	L1M4|LINE|L1	29869	NM_001350208	114883		NM_024586	ENSG00000117859	OSBPL9	ORP-9|ORP9	oxysterol binding protein like 9	protein-coding
*-239	chr7	130838298	131040951	+	0	NA	Intergenic	Intergenic	26160	NR_109780	100506860		NR_109780		LINC00513	-	long intergenic non-protein coding RNA 513	ncRNA
*-194	chr9	125784148	125856501	+	0	NA	intron (NR_024122, intron 2 of 7)	intron (NR_024122, intron 2 of 7)	72141	NM_001134778	5090		NM_006195	ENSG00000167081	PBX3	-	PBX homeobox 3	protein-coding
*-91	chr1	33317148	33469629	+	0	NA	promoter-TSS (NM_001385120)	promoter-TSS (NM_001385120)	-603	NM_001385120	1912		NM_004427	ENSG00000134686	PHC2	EDR2|HPH2|PH2	polyhomeotic homolog 2	protein-coding
*-276	chr6	157984854	158087051	+	0	NA	intron (NM_003898, intron 4 of 26)	L1PA13|LINE|L1	18859	NM_001178088	8871		NM_003898	ENSG00000078269	SYNJ2	INPP5H	synaptojanin 2	protein-coding
*-178	chr9	12778011	12835101	+	0	NA	intron (NR_125775, intron 1 of 3)	LTR37B|LTR|ERV1	7833	NR_125775	101929467		NR_125775	ENSG00000235448	LURAP1L-AS1	-	LURAP1L antisense RNA 1	ncRNA
*-70	chr5	9426848	9508331	+	0	NA	intron (NM_003966, intron 1 of 22)	intron (NM_003966, intron 1 of 22)	-43744	NR_109935	101929338		NR_109935	ENSG00000251370	SEMA5A-AS1	CTD-2201E9.1	SEMA5A antisense RNA 1	ncRNA
*-177	chr9	2800698	2841129	+	0	NA	intron (NM_014878, intron 12 of 17)	intron (NM_014878, intron 12 of 17)	23182	NM_014878	9933		NM_014878	ENSG00000080608	PUM3	HA-8|HLA-HA8|KIAA0020|PEN|PUF-A|PUF6|XTP5	pumilio RNA binding family member 3	protein-coding
*-101	chr1	89527836	89577701	+	0	NA	intron (NM_001134476, intron 3 of 7)	intron (NM_001134476, intron 3 of 7)	27939	NM_001369817	23507		NM_015350	ENSG00000197147	LRRC8B	TA-LRRP|TALRRP	leucine rich repeat containing 8 VRAC subunit B	protein-coding
